gaze_point_3d_x,gaze_point_3d_y
-235.22765361289876,-19.461204695350027
-233.93348671375784,-19.200901621596863
-234.70203157326205,-20.29898065208215
-234.87120720974593,-17.481414092463623
-234.19002732382054,-18.307387070164104
-234.76415929016176,-18.61034395166685
-235.59641142009812,-19.604834605208232
-236.09892491713478,-19.499921601592646
-236.404583025989,-18.7406424403311
-235.97231375374594,-18.925305741497024
-236.65809627342162,-18.8270517563194
-236.11666797383558,-18.573053741645694
-237.0032727663709,-17.700081093734667
-237.33950866320006,-18.429996299195306
-236.62285008228167,-18.269439308125357
-236.11266662017255,-17.96803408144859
-235.86815557883875,-17.429151416122416
-237.2023677373478,-19.84994112510394
-236.23778388333872,-20.06155107328621
-235.62680334075125,-18.52505065211993
-237.00068634531172,-18.597731024079415
-235.92430774822074,-18.744189781747497
-236.68787323934504,-20.473215973566813
-236.03265429333544,-19.106058572130287
-235.8834299917034,-19.64697703221131
-235.95295688734606,-20.128155139961297
-234.99815789064047,-20.340595590045638
-224.39431487023802,-16.859701782539524
-220.23214622253934,-15.150671068592377
-223.6189565569491,-16.660663613790543
-223.60998357994794,-17.052010617082313
-223.76769174608268,-18.03615361727815
-223.69836863336056,-17.258645644635084
-222.9536692862239,-16.479639748477467
-223.26498904229942,-18.871750105417384
-223.39497055755888,-16.94556263013826
-222.62961732318735,-16.99775008342104
-222.61924896267757,-18.172036768169242
-223.03376458345352,-18.48151183678358
-221.8506777728765,-18.639638396042262
-222.1093460357345,-18.511915343899894
-221.98216765141248,-18.051186093566066
-221.95853509269173,-17.77642551710001
-221.69898639282786,-17.062931707344433
-223.3226812327679,-6.376960413937848
-222.2641916801206,40.9324361406217
-218.6591420053181,77.45700246971359
-216.2458415958638,102.52379797160226
-219.04333612283205,106.47304709549337
-223.7199807155627,107.06106738374746
-221.9873328870286,109.59890730888146
-219.59054010521345,112.59011040421349
-219.63365122683692,110.89621868219503
-220.3041094925118,108.84562711925572
-220.15610845461313,110.49305154933192
-220.58463778924056,109.91061439900571
-220.31419729907213,110.63485610577096
-220.34741555232665,112.28279400285224
-222.05279194819101,109.5420082416584
-221.2726672716771,110.09800149348153
-221.06220293995509,109.64173214365212
-219.66413616093666,111.33280377528047
-218.88833057812207,111.62436342372304
-219.02620826012736,111.64429825478491
-219.35860599884157,111.89693835652233
-219.78310401485845,110.81511830939132
-220.527030097911,112.97604811923553
-227.34516386667448,104.3961584514722
-226.5213511376434,103.97200633095005
-224.8848932242505,106.99814010590872
-224.35693196154656,107.30075073781705
-226.32148118600938,105.34140528068687
-224.8563365845306,106.11069420911488
-225.94705738965462,105.64278713145528
-224.83382376307753,105.79086598815223
-224.137647175578,107.12489307892653
-223.6666914400041,107.14563873700938
-223.8281649173092,107.57383244586428
-224.5938127698636,107.26884454078751
-223.90722315835694,104.447480341258
-223.33042586741473,107.52890245395814
-225.75529476683835,105.92101317466917
-224.57704604300073,105.33364141636314
-224.52067601349756,106.30236199718317
-224.48707511977398,107.5971901712771
-225.71774773509384,106.27602123561662
-226.49432153940413,107.38200471695724
-224.86168264434542,107.31583598980308
-226.1945840105541,106.13306528848541
-225.13266503540183,106.93247410834118
-225.69680519784106,106.2821359502569
-224.82428039281294,106.7418780472568
-226.36434292477924,106.6222393736161
-226.53393674884498,106.52157389980465
-224.43281648581612,107.45308080169112
-223.84799555061144,108.76359235597256
-224.14464453048637,106.53351413707443
-224.12023751294404,107.93560189747613
-225.2686411663071,106.56933373190161
-224.5245083168279,106.95335051279726
-224.0688560841259,107.74204700086187
-225.27263077893303,108.18063800397663
-224.0515485420862,107.24092578278405
-224.18337084193314,107.22361857200174
-224.44500331869887,105.77101882490132
-225.55383704812684,105.84795918519532
-225.25045299000078,106.31376066054115
-225.48514255670776,106.30944773984221
-225.66128303936378,106.15049359901143
-224.82210933296884,106.58894825685624
-224.77940902251646,106.72918612401587
-213.18375608046995,94.5630272680177
-182.98466941269513,54.22264910782691
-153.60399024267278,1.7987401121780966
-130.60121502150608,-43.897235183811404
-121.20988976880912,-76.54880931651842
-111.07623723011491,-85.9406290605246
-113.88591596665705,-87.31399306401445
-118.01878284456029,-82.45117342649185
-121.02304484483372,-82.95253207881201
-125.95845722229123,-79.28602179881312
-128.37650285463548,-77.5297183292907
-129.4247338550178,-76.29109403472742
-130.57080989713714,-75.7005685557959
-131.61658698642714,-75.60461974981293
-130.32895148055653,-76.21724314200044
-130.94131901436657,-77.0220729242082
-130.24226986002614,-76.80397412429156
-130.89006899883807,-76.15027058854133
-130.57024572700226,-76.27636137496825
-131.59099107343098,-77.14638919487437
-130.27594471318642,-76.76532419443758
-131.4337392387219,-76.6401823255685
-130.31727298679107,-76.60445654152008
-130.69561506057903,-77.48813272041612
-130.329473295287,-77.81227595553825
-129.82664613649095,-76.36825456655178
-130.06056660652973,-76.66196388844739
-129.5879615387267,-77.22974726572966
-130.55773740865612,-76.75565267786341
-130.75849588690204,-76.80744832442633
-131.70338418759704,-76.60795972984525
-131.71207828370612,-75.52402145799225
-130.98979342092383,-75.52903727907902
-131.00122321725473,-75.61484714117171
-131.37999586460103,-76.24760171694689
-130.03309559381407,-75.32309856643343
-100.67854919172888,-77.10016417742692
-57.26140703770983,-80.04045677003488
-58.305099663723325,-79.08164980322859
-66.15472111948122,-77.31169037968701
-84.76937656098488,-77.93114344798803
-84.80852585203817,-80.33784035314167
-86.35165072284883,-82.60183969789855
-67.73338179759045,-75.44075247474024
-68.90350844579876,-75.64719902573988
-69.80026610258119,-75.73771196009609
-72.09615689740491,-75.9425303821487
-72.48335557146245,-76.47465636381307
-73.84839230636723,-73.44131100538104
-74.2116687176597,-76.15933467672656
-74.25967308508478,-74.2995842658511
-76.5202642226576,-75.17266952913972
-76.519875174594,-75.34865628009358
-77.46322057831455,-74.91942420723882
-77.77248237491094,-76.16324921954904
-78.60385342197236,-76.54469956758828
-79.17988234500643,-76.1400982669133
-80.1335114663685,-75.94461004795852
-79.24716045491687,-76.59224509971648
-95.9227428780224,-91.30268150223537
-73.78944906904496,-124.03743536153196
-74.45591752943687,-155.0276621785682
-80.94900747569974,-177.7691685311486
-107.52751573041132,-174.43012525999873
-107.24030291073521,-178.24364475858155
-107.01637888496754,-176.29434307017047
-106.97106247107655,-174.72124230912468
-108.9938519094477,-178.4698204164289
-112.48391636909926,-177.15126109722013
-114.27337410733969,-180.80764929445434
-114.28534339013214,-178.72683706462766
-114.4696333444029,-177.02084640308587
-86.25692785286503,-189.42159218035636
-113.0893867530431,-171.728461011019
-113.25680814353555,-176.43505495503726
-115.28977447244057,-179.48101263991668
-143.0818882408343,-163.01068907870336
-173.43647617596778,-154.10890590831164
-196.08678665677317,-142.95083633818047
-197.37676460191986,-146.6212329920069
-200.45406295598875,-149.07985772236455
-205.1212554518701,-146.82671833845748
-167.1547549180786,-169.81568663321104
-195.68336038453955,-135.54068323605324
-197.02700880663465,-140.69110349439066
-200.1351779777311,-142.91939865107855
-203.23887381058609,-145.1651270679244
-169.95347026979846,-173.88316058707272
-196.63126090710182,-143.88511398165545
-196.39195744930566,-153.37139123949598
-201.13291391471742,-150.58032120586702
-202.67934472246205,-137.37515847910885
-210.47528155182738,-136.7763606323093
-213.28321694187824,-139.0847010148209
-216.45468383429179,-141.0845913030869
-219.61572043063813,-143.10045964680148
-186.33514495921725,-166.079923623204
-209.55293055002898,-135.2738276075662
-211.3186677791839,-139.77593478980253
-214.4448667156021,-141.68101010597186
-220.4228936187661,-144.42602093555072
-223.58343607894955,-135.97837799867796
-187.2790589812514,-169.0224721422754
-209.28118643879338,-131.82130078346617
-211.16860317632916,-136.61708399710383
-214.28112683035832,-138.3494823246606
-217.3906829409776,-140.0966092740282
-218.9208157070266,-146.60191756856594
-220.86804288469298,-142.49826795493925
-179.84072960340646,-168.76361445178458
-205.26970899771348,-132.76275124312838
-206.82273850675352,-137.37447882273537
-209.8645945422916,-138.9907591668663
-212.90867052548168,-140.6213387440703
-216.70137385318165,-142.93809732107005
-179.80910648034978,-164.78706026087
-203.18109414902605,-133.59897949996454
-204.80828998650657,-137.71186550862677
-207.80884210214515,-139.22145664217425
-187.5774507203566,-160.32666044396083
-163.3446471100819,-173.72333632848563
-182.48924562249434,-132.2026905713864
-162.22522654607783,-146.31875795851076
-184.45792747848893,-136.0336208009955
-160.61298775940043,-144.9869929739084
-181.6840491749266,-139.61417592632742
-183.14419786882024,-141.54554519244041
-185.9529548669545,-142.97064155590394
-164.5640699124741,-164.02170436479818
-183.56504325973594,-142.14711153760035
-186.71963118408468,-140.64281210690373
-161.87359762725723,-144.22891575749847
-181.317735851689,-133.5725351265368
-160.92842520996206,-146.33512335423762
-181.72679836724203,-140.54131875177617
-184.6995517128281,-137.60614791534698
-187.4369236406451,-139.2404331570953
-164.56442291170714,-164.84727429952213
-183.72672927486042,-142.48478998738145
-186.89947897677786,-140.87154248492172
-168.7684022979133,-162.93428556163798
-184.39521365568214,-150.29846598382832
-189.38563857433888,-143.25988855082883
-192.0075099760271,-145.3021588153254
-161.04465048273104,-163.77884057966347
-185.6599510574068,-137.92522589016866
-186.9714140171678,-141.22783552328596
-189.8461782587533,-142.38786302884046
-168.68798742068088,-163.1687442060627
-184.5919081746086,-150.50906529295563
-189.59261855246817,-143.37859638553704
