timestamp,index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
577352.626739,1,1.0,0.400007247925,0.546471786499,577352.626739-0,-65.65462939072789,-22.899116914140137,379.4982061032171,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.4022230559725943,-0.023470939361057253,0.9152408034225618,,,,,,
577352.637381,1,1.0,0.399205803871,0.54636294047,577352.637381-0,-65.52803693426485,-22.787707552453895,379.445395139324,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.4024762408855204,-0.023248120637684753,0.9151351814947755,,,,,,
577352.648022,2,1.0,0.395377731323,0.542685529921,577352.648022-0,-68.22735771604287,-21.515381601208063,380.65355203424457,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3970775993219644,-0.020703468735193027,0.9175514952846167,,,,,,
577352.658664,2,1.0,0.393579816818,0.541929541694,577352.658664-0,-69.68811014408405,-21.363036205319887,381.2863543379013,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3941560944658821,-0.02039877794341664,0.9188170998919302,,,,,,
577352.669305,2,1.0,0.393646717072,0.541651662191,577352.669305-0,-68.86553816667625,-21.034204744770037,380.93980130583816,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3958012384206977,-0.019741115022316985,0.9181239938278039,,,,,,
577352.679947,2,1.0,0.393987703323,0.541909366184,577352.679947-0,-68.56136559488705,-21.11483690108595,380.80681234284054,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.396409583564276,-0.019902379334948858,0.9178580159018086,,,,,,
577352.690588,3,1.0,0.393973326683,0.542293251885,577352.690588-0,-68.55728083616538,-21.184922595076515,380.8035231096169,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3964177530817194,-0.020042550722929958,0.9178514374353612,,,,,,
577352.70123,3,1.0,0.393379735947,0.545358233982,577352.70123-0,-68.50165050727986,-21.80548410814221,380.76552118508874,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.39652901373949045,-0.02128367374906134,0.917775433586305,,,,,,
577352.711871,3,1.0,0.39370265007,0.543393834432,577352.711871-0,-68.29099685163163,-21.16161051002112,380.6889326187293,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3969503210507868,-0.019995926552819177,0.9176222564535863,,,,,,
577352.722513,4,1.0,0.393734812737,0.544334835476,577352.722513-0,-68.5308821736222,-21.426485520237875,380.7867820937606,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.39647055040680573,-0.020525676573252685,0.9178179554036487,,,,,,
577352.733154,4,1.0,0.393406271935,0.545506964789,577352.733154-0,-68.44685285903401,-21.64118987233914,380.7456225659218,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.39663860903598214,-0.02095508527745523,0.9177356363479711,,,,,,
577352.743796,4,1.0,0.393756246567,0.544989437527,577352.743796-0,-68.15711203362861,-21.44183505077271,380.624799982076,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.397218090686793,-0.02055637563432231,0.9174939911802795,,,,,,
577352.754438,5,1.0,0.394216656685,0.544052717421,577352.754438-0,-68.41009654137416,-21.1253718689251,380.74122325647556,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3967121216713019,-0.01992344927062714,0.9177268377290786,,,,,,
577352.765079,5,1.0,0.393685007095,0.54537586636,577352.765079-0,-68.29877564243515,-21.614944420264834,380.68219492730657,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.39693476346917994,-0.02090259437330657,0.9176087810707406,,,,,,
577352.775721,5,1.0,0.394405531883,0.544717025757,577352.775721-0,-67.80995852672729,-21.40292038880132,380.4752184974827,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3979123977005956,-0.020478546310379545,0.9171948282110928,,,,,,
577352.786362,6,1.0,0.394287896156,0.545064290365,577352.786362-0,-68.55443991162063,-21.434326282257985,380.7967822205877,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.39642343493080884,-0.020541358097292937,0.9178379556573029,,,,,,
577352.797004,6,1.0,0.393657231331,0.54572614034,577352.797004-0,-68.31523449376978,-21.64342686897251,380.6886645789838,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3969018457665106,-0.02095955927072196,0.9176217203740951,,,,,,
577352.807645,6,1.0,0.393979287148,0.544448216756,577352.807645-0,-68.09873700095275,-21.209036142840063,380.6046798230354,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3973348407521447,-0.02009077781845705,0.9174537508621982,,,,,,
577352.818287,7,1.0,0.394686198235,0.544968499078,577352.818287-0,-68.18889039887279,-21.154736053177302,380.6448990965228,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3971545339563045,-0.0199821776391315,0.9175341894091732,,,,,,
577352.828928,7,1.0,0.392875051498,0.545608478122,577352.828928-0,-68.82998473623219,-21.29865521848491,380.9187101655509,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.39587234528158577,-0.020270015969746744,0.9180818115472295,,,,,,
577352.83957,7,1.0,0.393396258354,0.544656117757,577352.83957-0,-68.48296771699101,-20.98185375919327,380.77580996492185,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3965663793200681,-0.01963641305116349,0.9177960111459711,,,,,,
577352.850211,8,1.0,0.393599867821,0.54711265564,577352.850211-0,-68.65628931512224,-21.31557901737004,380.84340055090024,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3962197361238056,-0.02030386356751697,0.9179311923179281,,,,,,
577352.860853,8,1.0,0.393721389771,0.547042295668,577352.860853-0,-68.57201535260623,-21.293637454344122,380.80749984139425,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.39638828404883775,-0.020259980441465212,0.917859390898916,,,,,,
577352.871494,8,1.0,0.393089771271,0.544685194227,577352.871494-0,-68.0741704024701,-20.618713703204023,380.60658704041873,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.39738397394910996,-0.018910132939185025,0.917457565296965,,,,,,
577352.882136,9,1.0,0.393625974655,0.54491780599,577352.882136-0,-67.84828754015584,-20.249753538293078,380.51614091842225,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3978357396737385,-0.018172212609363088,0.9172766730529719,,,,,,
577352.892777,9,1.0,0.392803025246,0.544112099542,577352.892777-0,-68.4127113604381,-19.963397976672383,380.76610762073375,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.396706892033174,-0.017599501486121678,0.917776606457595,,,,,,
577352.903419,9,1.0,0.39110956192,0.542970996433,577352.903419-0,-68.14334291962439,-19.69684977020418,380.65461508695205,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3972456289148014,-0.017066405073185298,0.9175536213900316,,,,,,
577352.91406,9,1.0,0.39084482193,0.5413102044,577352.91406-0,-68.34389057935468,-19.115068421205763,380.75183823997554,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.3968445335953407,-0.01590284237518846,0.9177480676960785,,,,,,
577352.924702,10,1.0,0.390944290161,0.541605038113,577352.924702-0,-68.4159527854901,-18.995613691228144,380.7850462610343,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.39670040918307004,-0.01566393291523319,0.9178144837381961,,,,,,
577352.935343,10,1.0,0.394124817848,0.540304692586,577352.935343-0,-64.87673698472734,-18.69347169400382,379.24413861129875,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.40377884078459547,-0.015059648920784565,0.9147326684387249,,,,,,
577352.945985,10,1.0,0.401141452789,0.537668948703,577352.945985-0,-60.20739157887404,-17.850495175252533,377.167560850996,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.41311753159630205,-0.013373695883282008,0.9105795129181193,,,,,,
577352.956626,11,1.0,0.400199890137,0.536630969577,577352.956626-0,-60.99449069693304,-17.266476801500033,377.532033674363,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.411543333360184,-0.012205659135777036,0.9113084585648534,,,,,,
577352.967268,11,1.0,0.397157502174,0.536157014635,577352.967268-0,-61.98988982283298,-17.321834032319003,377.9795002689918,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.4095525351083842,-0.012316373597414939,0.912203391754111,,,,,,
577352.97791,11,1.0,0.397483372688,0.537162187364,577352.97791-0,-61.781186914774935,-17.702407968366515,377.88044308237613,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.4099699409245004,-0.013077521469509948,0.9120052773808799,,,,,,
577352.988551,12,1.0,0.397594404221,0.539109124078,577352.988551-0,-61.69433646307526,-18.220835555933704,377.833662299278,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.41014364182789964,-0.014114376644644332,0.9119117158146836,,,,,,
577352.999193,12,1.0,0.395950579643,0.535391150581,577352.999193-0,-62.18232197140274,-17.213061647989107,378.06730325832643,-266.7661573770251,-11.163647233611538,-78.12219560806375,0.4091676708112448,-0.012098828828755149,0.9123789977327804,,,,,,
