index	mood	unique_interactions	alone	morale	stress	fatigue	compulsions	getting_ready_activity	_activity	relaxing_activity	just_woke_up_activity	in_class_activity	with_k_activity	with_friends_activity	chatting_activity	emails_activity	leisure_activity	with_parents_activity	resting_activity	trying_to_leave_apt_activity	eating_activity	therapy_activity	working_out_activity	feedly_activity	working_activity	mozfest_activity	ash_stuff_activity	reading_activity	schoolwork_activity	email_activity	schoolworking_activity	commuting_activity	tv_activity	errands_activity	meditation_activity	washing_up_activity	sstudying_activity	cooking_activity	studying_activity	work_activity	shopping_activity	workshop_activity	la_location	k_home_location	cafe_location	parsons_location	airport_location	friend_home_location	mountain_view_location	mozfest_house_location	home_location	mozfest_location	parents_home_location	school_location	therapy_location	vacation_location	london_location	library_location	hour_of_day	avg_attention	avg_engagement	avg_valence	blinks	emoji	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	word_count	uniqueword_ratio	backspace_count	avg_dwelltime	avg_flighttime	stepCount	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	productivity_score	phone_unlocks	phone_use_secs	heart_rate
mood	1.0	0.35823645886756833	-0.31369523618504824	0.6417009223413932	-0.15432167899039362	-0.26163526426556316	-0.17135629441097283	-0.030055716260574607	0.0	0.0	0.0	0.11107787325682807	0.11070007635320077	0.4549084104967418	0.14136612829916131	0.0	-0.061334561137859504	0.0	0.019560484186866046	0.0	0.11578566327230994	-0.0067371899343617175	-0.016619968935141737	-0.11094394995166802	-0.05740261211803472	0.06114785348738769	-0.0811458310795022	-0.040233264589266154	0.06873072769155222	0.04832680055556204	-0.004760566068934997	0.0	-0.20260691880586462	-0.01605287806135219	-0.06541584876590371	-0.005590621887215732	0.06114785348738797	0.031461592740709296	-0.02615589237891982	0.048192821149472966	0.0	0.0	0.007731332125948038	0.0740131734782618	0.09277902746087362	0.0	-0.03005571626057443	0.02646724621064522	0.04989299680619557	0.00773133212594788	-0.2957726671938659	-0.008257147577068759	-0.12091356534820119	0.32469125056793086	0.0	0.03904103883188442	-0.004719288017858933	-0.010674977467013045	0.07829326173665263	-0.08817719344045805	0.2136717371326867	0.13686643830548062	0.04882717580826097	0.20523465395270607	-0.14321285880551254	0.00831985127204094	0.16042909426490762	-0.11700417571611342	-0.024376247408517404	0.002963132471009663	-0.014497919545711875	0.00788016141336963	-0.03055548619520194	0.028994319901561125	0.020564442217379564	-0.029732097338296334	0.11116331013482171	0.097088365510612	0.09791424170427272	0.02790587514872849	-0.0018778996275165452	-0.0409391430574751	0.056426099976279925	-0.036621596997426224	0.002815729794084525	-0.19194436996226633
unique_interactions	0.35823645886756833	1.0	-0.40507754952206715	0.19410171056908113	0.061788700035151224	-0.11586879719749546	-0.03528764837409232	-0.03486041248407239	0.0	0.0	0.0	0.17164933668210564	-0.01117199566173484	0.33246533369110204	0.18898951955530893	0.0	0.021636380326153563	0.0	0.0669960809474713	0.0	0.05268583374767879	0.00997808559375723	0.0369051607628262	-0.06266671084473478	-0.0011597106370224845	0.04929505956063423	0.06368973759829812	-0.050499410579769054	-0.0804600516833207	0.11293087972093904	0.028172837525338345	0.0	-0.13697342673836227	-0.014267489339314758	0.10992588774153748	-0.030150024340653135	0.07041728159593008	-0.059634685477905916	-0.009283217502880133	-0.08217873083185717	0.0	0.0	0.007110424159690452	-0.014131471479385208	0.03475571114882255	0.0	0.009978085593757244	-0.01895405556838003	0.01071597275243643	-0.05661526275753639	-0.41169591258539473	0.0977138032978305	0.0746139421827351	0.4266886763742152	0.0	0.012493094551281302	0.03027686315049555	-0.04102661927659255	0.11578231698868038	-0.09660324952356263	0.12431510564188886	0.11380184202603984	0.08748105943022681	0.09037258876255136	-0.04442175778548576	0.003424410775673062	0.10047854867184196	0.0117729478512484	0.06776780949195411	0.08762499478556271	-0.06064948998943812	0.07878194225313442	-0.04357575946832907	0.006711602889886689	-0.09172418235047004	-0.14261827068324281	0.09466722797378087	0.06548291714524655	0.08340465327517467	0.07700197407919745	-0.02034805303968694	-0.05056344540745732	-0.06399279456503645	0.012384845095546807	-0.027686620552654632	-0.12965380973255045
alone	-0.31369523618504824	-0.40507754952206715	1.0	-0.2184680801325893	-0.08282118329613224	0.18135168695718631	0.1464643381641088	0.03613016429417023	0.0	0.0	0.0	-0.4368210996584317	-0.1750784118838767	-0.3559301150186338	-0.00046449873616063975	0.0	0.15613519392942088	0.0	0.07030571332586738	0.0	0.0671881327224647	0.036130164294170555	0.04226419840158425	0.1380400750110118	0.04316561558976781	-0.0550136251845944	0.07487617741606972	0.021125924519865277	-0.055151213159729956	0.06398777271382869	0.02552993694398035	0.0	0.20309797060330165	0.18014098811599255	0.044281384593171276	0.17043277845698523	-0.05501362518459403	0.1377283894091524	0.002932073259292274	-0.044499333096081735	0.0	0.0	0.023023815414539735	-0.13897599107131967	-0.1233612139229531	0.0	-0.07785570801442716	-0.16429660057436948	0.03726058813967144	-0.13897599107131728	0.9308302686991085	-0.09542050573838108	-0.1485882393235014	-0.8079143589939257	0.0	0.04215852567383292	0.09041597491792729	-0.12336121392295361	-0.050354898255140036	0.21894670423872864	-0.1409102535708609	-0.05718039601076966	0.021109141681716112	-0.15856429771910707	0.033332469946929	-0.05379215634980033	-0.04707141061532624	0.08389040572877426	0.07086488844422587	-0.0175047465883596	0.015539474967469012	-0.011727816732571056	0.004989350484372001	-0.051315849638972504	0.01574962625837372	0.014148954298542491	-0.10702600652354297	-0.03460212388142683	-0.01252569132621251	-0.1334070203178641	0.0007187264648021802	0.01675847456849739	-0.13232185100842364	0.002790894192971113	0.0065744740862086785	0.085990200097567
morale	0.6417009223413932	0.19410171056908113	-0.2184680801325893	1.0	-0.05636197538674718	-0.4247402552822125	-0.1494293509640543	-0.027349306667942514	0.0	0.0	0.0	0.12070681014682255	0.1287403984674497	0.12216830697104014	-0.07260518744047198	0.0	-0.3334297999477213	0.0	0.021692830877284592	0.0	0.10439535949133633	0.014950163297877432	0.002097703066423817	-0.16452276240731986	0.001916991803290049	0.04045316581978628	0.007077233576578779	-0.07014372349948798	0.23418404146769162	0.07806885485690619	0.010563935530141108	0.0	-0.36957103022158366	0.03821024481975953	-0.016238660387154918	0.013512858950012972	-0.01932529475950412	0.06274888572940499	-0.009911804642552641	0.23379879846245882	0.0	0.0	0.08196899121484501	0.051910415489052224	0.10411577076927796	0.0	-0.006199571685032507	-0.024604893154387433	0.10748285182562695	0.011832314521326352	-0.24103028240457144	0.001042182681563701	-0.043499490905336786	0.23293913728673987	0.0	0.1333354257586175	0.023972017018452113	0.050497464840426304	0.0543259018859676	-0.053694682109369334	0.07673393936037692	0.012441630229421439	0.05315660851921905	0.0632165085276922	-0.09619024274887136	0.08725720190383097	0.11999891031761191	-0.06560914450006493	-0.04352346387927289	0.045334004157556576	-0.03603962486612523	0.036461459610891485	-0.14481410340481615	0.11355321972010869	0.11390735680401336	0.02514246564270813	0.0919043546870534	0.10940801550367948	0.09874421792381857	0.05100640806909916	0.03756444561076304	0.004841392562111098	0.20795967594269008	-0.08985895954553162	-0.048098368370092785	-0.17138264731298877
stress	-0.15432167899039362	0.061788700035151224	-0.08282118329613224	-0.05636197538674718	1.0	0.1530576382401547	0.024963861099781846	0.03713598887931935	0.0	0.0	0.0	0.0491071480598158	-0.1135320446422405	-0.05059123994964626	-0.02936036002237705	0.0	-0.18803598204826935	0.0	0.006202021742142888	0.0	0.0200059028117391	-0.04252093070839015	0.03702585587168279	-0.06230195737835241	0.14283711646361436	-0.03004571667446628	-0.041526762278100045	-5.900664185593845e-05	0.12834986278198068	0.0539862412503885	-0.01128359021721062	0.0	-0.20034724583061647	-0.08819818165376227	0.023819000673086874	0.043960828127217424	-0.01128359021721059	0.0005810223545432922	-0.03355814688403259	0.18382192028752456	0.0	0.0	-0.11580575058862176	-0.05291098956297727	-0.05054508941375538	0.0	0.09024060193779179	-0.10333975606091607	-0.044223135744917784	0.06658905638574915	-0.09429944993662859	-0.008723693782542253	0.04835524437737648	0.12535285033535964	0.0	-0.11672846378586754	-0.0708343405687894	-0.03371639515645539	0.004093140095924373	-0.023987724897751635	-0.08020039284209027	-0.032823187576006475	0.05213659733357626	-0.08140693703488981	0.08248511251950685	0.06342476342045421	-0.0752837595014869	0.0376106601678794	-0.005850875076875139	0.10689680020480369	-0.03435980204950514	0.08488971004616153	-0.0988567042417607	0.07690765910580796	0.03817074626482435	-0.007912426056351177	-0.022510216210048575	0.5194896601476425	0.5232475595654441	0.13017455329996705	0.11005200227222944	0.1244345794370241	0.10602995252592615	-0.12927856892914683	-0.09301314166260388	-0.33900751417269553
fatigue	-0.26163526426556316	-0.11586879719749546	0.18135168695718631	-0.4247402552822125	0.1530576382401547	1.0	0.10473585498304905	-0.009976231144828932	0.0	0.0	0.0	-0.07642572784228939	-0.13110849780679187	-0.11005193195935024	-0.015087403957252995	0.0	0.13043813701582815	0.0	0.02511025734599096	0.0	-0.14078427305162508	-0.02507825408806218	0.00022642225431849066	0.021627518662642543	0.021958361956993192	-0.017720546198475358	-0.1565075276032388	0.0655511759876195	0.02021820487931537	-0.047139541963827386	-0.017720546198475365	0.0	0.08015766421811367	-0.03116278697412516	-0.030736085370581014	0.04792568431393324	-0.039063028359814636	-0.0627018762214258	0.007769425585162108	0.027261530648942912	0.0	0.0	-0.14647092282525054	-0.03199943638348521	-0.10673712887109775	0.0	-0.055282299974529034	-0.026620225832948638	-0.1766974455488883	-0.031999436383485146	0.2370913215634018	0.01862163730785195	-0.03208170547871879	-0.15901374816582345	0.0	-0.22802996755790594	0.10211097084612597	-0.06845083890249429	-0.25780123004795785	0.0251601774928977	-0.033524736195896805	0.046064454451976586	-0.02854382228402264	-0.0839505945623513	0.10035850138692314	-0.04167307801402303	-0.05682638504297602	0.12463863838297794	0.02331337547127963	0.06857867336358711	-0.0007620157399795417	0.01860008852103821	0.01763211186125168	-0.04027116946402835	-0.07400047186549091	-0.06529649040732502	-0.1390969192187373	0.10767876441309641	0.11826493542823403	0.05009907290426342	0.05797569233745993	0.03044947511792824	-0.048829204726667325	0.11609982519755455	0.09751881985802893	-0.006276259551787958
compulsions	-0.17135629441097283	-0.03528764837409232	0.1464643381641088	-0.1494293509640543	0.024963861099781846	0.10473585498304905	1.0	0.04678270272033961	0.0	0.0	0.0	-0.08914734753406263	0.033078199452722126	-0.12146327487015485	-0.02244826830080678	0.0	0.08012944822359548	0.0	0.014551618913580748	0.0	-0.09867804571025714	-0.00667253292004834	-0.060416693864486185	0.017414742512153074	-0.022041678068357537	0.03305712757890654	0.05465827738917	0.07412649817670833	0.006201940088094203	0.005926096762667262	0.03305712757890659	0.0	0.1264627757728973	-0.011974015688879402	0.01366046799128161	0.04056966404905526	-0.042486885125453434	-0.08365620694076868	0.09575067536937963	-0.007647538706140886	0.0	0.0	0.04908524640045134	-0.001562771954862408	0.006367276125435321	0.0	-0.006672532920048337	-0.01780475318091868	0.05915777331326134	0.02376123722279493	0.13149554398925042	0.013660467991281816	0.017033497425046173	-0.16977606093409067	0.0	0.07637934117493707	0.08788738699223565	-0.02751233490020102	-0.004273735734866117	0.023268607147002993	-0.027355063239981544	-0.02177068934233768	-0.06366130988384011	-0.058993288690784865	0.09594303540574574	-0.050388994873021634	-0.03452223260098317	-0.04306726668430087	0.0471258478851086	-0.03482377720858417	0.014796247863166289	0.011387486182503735	0.041805559540384986	0.013028990675800108	-0.06039379923288445	-0.04079280701423714	-0.07588223116665252	0.008668280071880585	0.007242758473022996	-0.0758395453844484	-0.09540638680206083	0.024912895768880675	0.010101795351240674	-0.04641952385469995	0.0039026363441341414	0.0664054017038851
getting_ready_activity	-0.030055716260574607	-0.03486041248407239	0.03613016429417023	-0.027349306667942514	0.03713598887931935	-0.009976231144828932	0.04678270272033961	1.0	0.0	0.0	0.0	-0.01578241809781928	-0.006325611785727129	-0.018184463387067005	-0.009463515857611984	0.0	-0.039574692468441926	0.0	-0.007227745527124106	0.0	-0.0196424498351411	-0.0028129395218002657	-0.006939238454642494	-0.015182188178971314	-0.01205034199829316	-0.0019876513163373183	-0.01149692321080477	-0.004457060926564696	-0.05586470132443546	-0.011683762250348121	-0.0019876513163373175	0.0	-0.020668016508121854	-0.017220858430665297	-0.003447558549360503	-0.013269164635635084	-0.0019876513163373083	-0.010722941271136597	0.12332878471875104	-0.06099216177149342	0.0	0.0	-0.005996738661011516	-0.005996738661011511	-0.004457060926564744	0.0	-0.0028129395218002757	-0.007505949314693179	-0.005281130106519517	-0.0059967386610114805	0.03777941667042869	-0.003447558549360515	-0.009683214896235517	-0.02944669697408168	0.0	-0.00803570157379421	-0.008535403324807223	-0.00445706092656472	-0.018615553354875435	0.013288096557701797	0.000182363524101367	0.0036730025778294677	0.11659931363158302	0.024105287613988557	0.01642510165183582	-0.03516535594290222	0.05309455659110908	-0.01297972630952525	-0.010880388817472745	-0.01670045517587927	0.061762654012834595	0.0001607580957075123	0.00255654047460495	-0.02238283859347584	-0.021247653948577798	-0.033334245163617104	0.07780175405516361	0.009563927181797114	0.026006542037355303	0.022525757790878967	0.016347066734145137	-0.01709308103481859	-0.007304864203169664	-0.03289370027446809	-0.032822634531040736	-0.024510281879400624
_activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relaxing_activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
