index	mood	unique_interactions	alone	morale	stress	fatigue	compulsions	getting_ready_activity	_activity	relaxing_activity	just_woke_up_activity	in_class_activity	with_k_activity	with_friends_activity	chatting_activity	emails_activity	leisure_activity	with_parents_activity	resting_activity	trying_to_leave_apt_activity	eating_activity	therapy_activity	working_out_activity	feedly_activity	working_activity	mozfest_activity	ash_stuff_activity	reading_activity	schoolwork_activity	email_activity	schoolworking_activity	commuting_activity	tv_activity	errands_activity	meditation_activity	washing_up_activity	sstudying_activity	cooking_activity	studying_activity	work_activity	shopping_activity	workshop_activity	la_location	k_home_location	cafe_location	parsons_location	airport_location	friend_home_location	mountain_view_location	mozfest_house_location	home_location	mozfest_location	parents_home_location	school_location	therapy_location	vacation_location	london_location	library_location	hour_of_day	avg_attention	avg_engagement	avg_valence	blinks	emoji	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	word_count	uniqueword_ratio	backspace_count	avg_dwelltime	avg_flighttime	stepCount	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	productivity_score	phone_unlocks	phone_use_secs	heart_rate
10	2.5	0	True	1.5	0.5	4.5	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	23	89.03148738593812	44.90669061381156	35.25962912201122	0.0	2.0	0.0	0.0	0.655934	0.0	0.0	0.0	0.726613	27.0	0.8888888888888888	35.0	0.08447019233580955	0.21424836843786105	0.0	23.0	2.0	2.0	1.0	0.0	13.37	17.0	622.0	74.0
11	3.0	1	True	2.5	0.5	1.5	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	13	97.9760064189369	10.958194006549748	-2.3401604881416604	14.0	4.0	0.548042	0.0	0.592438	0.0	0.822511	0.0	0.0	43.0	0.7906976744186046	171.0	0.09653758544188279	0.24773449764571376	0.0	22.0	2.0	7.0	1.0	0.0	53.68	12.0	844.0	74.0
12	3.0	0	True	3.0	0.0	1.5	True	False	True	False	False	False	False	False	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	14	97.9760064189369	10.958194006549748	-2.3401604881416604	14.0	4.0	0.548042	0.0	0.592438	0.0	0.822511	0.0	0.0	43.0	0.7906976744186046	171.0	0.09653758544188279	0.24773449764571376	0.0	22.0	2.0	7.0	1.0	0.0	53.68	12.0	844.0	74.0
13	3.5	1	True	4.0	0.0	2.0	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	15	97.9760064189369	10.958194006549748	-2.3401604881416604	14.0	4.0	0.548042	0.0	0.592438	0.0	0.822511	0.0	0.0	43.0	0.7906976744186046	171.0	0.09653758544188279	0.24773449764571376	0.0	22.0	2.0	7.0	1.0	0.0	53.68	12.0	844.0	74.0
14	3.5	2	True	3.0	1.5	2.0	False	False	True	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	16	96.93323567834231	8.62446761806265	5.647518040243499	7.0	2.0	0.527204	0.0	0.618155	0.0	0.789226	0.0	0.0	124.0	0.6774193548387096	80.0	0.0917920505981198	0.23804153308533785	858.0	20.0	2.0	13.0	4.0	0.0	40.52	7.0	1431.0	74.0
15	3.0	1	True	3.0	0.5	1.5	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	17	96.83828840179034	14.401763775523243	-4.793524451878411	6.0	3.0	0.527204	0.0	0.618155	0.0	0.789226	0.0	0.0	124.0	0.6774193548387096	80.0	0.0917920505981198	0.23804153308533785	858.0	21.0	2.0	0.0	0.0	0.0	49.21	7.0	493.0	78.0
16	3.0	3	True	3.0	0.5	2.5	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	20	89.73968642576595	31.260590961478407	-22.961121814591543	6.0	2.0	0.0	0.98445	0.0	0.0	0.0	0.0	0.0	11.0	0.9090909090909091	9.0	0.13008387000472457	0.2608379136736148	17.0	21.0	2.0	24.0	6.0	0.0	52.64	3.0	72.0	72.0
17	3.5	3	True	3.0	0.5	2.5	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	21	89.73968642576595	31.260590961478407	-22.961121814591543	6.0	2.0	0.0	0.98445	0.0	0.0	0.0	0.0	0.0	11.0	0.9090909090909091	9.0	0.13008387000472457	0.2608379136736148	17.0	21.0	2.0	24.0	6.0	0.0	52.64	3.0	72.0	72.0
18	3.0	3	True	3.0	0.5	3.0	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	22	96.73161620436044	9.08327367313463	1.0667162773424181	27.0	5.0	0.0	0.0	0.618176	0.0	0.971453	0.0	0.0	27.0	0.8518518518518519	53.0	0.1325281517046718	0.3198135351693189	20.0	23.0	2.0	23.0	8.0	0.0	34.94	3.0	72.0	72.0
19	3.0	0	True	2.0	0.5	4.0	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	23	95.74438148996104	10.640939366112908	-0.6101718381371187	4.0	2.0	0.525438	0.546015	0.607177	0.50088	0.645295	0.0	0.0	131.0	0.648854961832061	144.0	0.10719972939313362	0.29783911183313416	18.0	21.0	2.0	44.0	11.0	0.0	19.27	18.0	298.0	87.0
20	2.5	0	True	1.0	0.0	4.5	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0	96.47546643889352	4.153910206044825	-4.402774188960536	3.0	1.0	0.525438	0.546015	0.607177	0.50088	0.645295	0.0	0.0	131.0	0.648854961832061	144.0	0.10719972939313362	0.29783911183313416	18.0	21.0	2.0	2.0	1.0	0.0	70.68	33.0	1554.0	87.0
21	2.0	0	True	1.0	0.0	4.5	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	1	96.47546643889352	4.153910206044825	-4.402774188960536	3.0	1.0	0.525438	0.546015	0.607177	0.50088	0.645295	0.0	0.0	131.0	0.648854961832061	144.0	0.10719972939313362	0.29783911183313416	18.0	21.0	2.0	2.0	1.0	0.0	70.68	33.0	1554.0	87.0
22	2.0	0	True	2.0	0.0	4.5	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	16	97.30183316221331	1.6110208214509605	0.0	7.0	1.0	0.0	0.788671	0.65429	0.0	0.0	0.0	0.780034	26.0	0.8846153846153846	30.0	0.10553895240711375	0.2921269572511011	7.0	25.0	2.0	12.0	2.0	0.0	53.69	19.0	401.0	82.0
23	2.0	1	True	2.0	0.0	4.5	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	17	97.30183316221331	1.6110208214509605	0.0	7.0	1.0	0.0	0.788671	0.65429	0.0	0.0	0.0	0.780034	26.0	0.8846153846153846	30.0	0.10553895240711375	0.2921269572511011	7.0	25.0	2.0	12.0	2.0	0.0	53.69	19.0	401.0	82.0
24	2.0	2	True	1.0	0.0	4.5	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	19	97.30183316221331	1.6110208214509605	0.0	7.0	1.0	0.0	0.788671	0.65429	0.0	0.0	0.0	0.780034	26.0	0.8846153846153846	30.0	0.10553895240711375	0.2921269572511011	7.0	25.0	2.0	12.0	2.0	0.0	53.69	19.0	401.0	82.0
25	3.0	3	True	2.0	1.0	4.5	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	20	97.56505264261004	2.2526520947836373	0.34204675889313635	4.0	1.0	0.513835	0.0	0.615489	0.0	0.921988	0.0	0.0	162.0	0.654320987654321	169.0	0.08276421891318428	0.1617912415388376	12.0	26.0	2.0	23.0	6.0	1.0	68.26	7.0	398.0	76.0
26	2.5	3	True	1.0	0.5	5.0	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	21	97.70474653891054	24.850973202305735	2.449515456394196	15.0	3.0	0.537889	0.0	0.583427	0.577339	0.77269	0.540434	0.0	483.0	0.45962732919254656	320.0	0.0806609303606903	0.1546459968864901	20.0	27.0	2.0	13.0	3.0	0.0	8.69	7.0	398.0	77.0
27	3.0	0	True	3.0	0.0	1.5	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	13	98.2114168913468	5.7321532933392385	-6.161695092730224	16.0	2.0	0.0	0.0	0.0	0.0	0.808202	0.0	0.0	31.0	0.8387096774193549	24.0	0.12398966258724793	0.24338154173687676	3746.0	31.0	2.0	32.0	12.0	0.0	47.09	7.0	165.0	76.0
28	3.0	0	True	3.0	0.0	3.0	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0	97.90234830152143	5.953671451676227	-0.6873992677131318	0.0	3.0	0.0	0.0	0.529406	0.0	0.772304	0.0	0.0	139.0	0.5467625899280576	198.0	0.08143213641258978	0.17225334356119346	0.0	29.0	2.0	25.0	4.0	0.0	42.93	13.0	233.0	75.0
