	time	mood	social	alone	morale	stress	fatigue	compulsions	with_k_activity	therapy_activity	work_activity	working_activity	with_parents_activity	errandss_activity	washing_up_activity	school_work_activity	reading_activity	commuting_activity	meditation_activity	shopping_activity	tv_activity	chatting_activity	studying_activity	email_activity	eating_activity	workshop_activity	in_class_activity	just_woke_up_activity	cooking_activity	errands_activity	schoolwork_activity	feedly_activity	ash_stuff_activity	resting_activity	with_friends_activity	getting_ready_activity	working_out_activity	trying_to_leave_apt_activity	leisure_activity	mountain_view_location	vacation_location	la_location	parents_home_location	therapy_location	home_location	michelle_home_location	airport_location	k_home_location	cafe_location	library_location	school_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	avg_attention	avg_engagement	avg_valence	blinks	productivity_score	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	calorie	distance	mean_speed
11	2018-05-15 12:17:04.631994-04:00	3.0	1	True	3.0	2.0	1.5	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	0.548905	0.0	0.640235	0.0	0.0	0.0	0.0	96.44476706764915	14.229462064351097	-8.078871461069635	4	23.39	23	1	29	6	0	0.0	0.0	0.0
12	2018-05-15 13:49:07.426009-04:00	1.0	2	True	2.0	5.0	1.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	0.534787	0.0	0.603852	0.0	0.657499	0.0	0.0	96.48328023664119	10.354537798546291	-3.9907992011533255	0	56.15	21	1	19	1	0	0.0	0.0	0.0
13	2018-05-15 17:46:06.657719-04:00	2.0	2	False	2.0	2.5	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	0.561888	0.0	0.0	0.0	0.0	0.643484	0.0	96.48328023664119	10.354537798546291	-3.9907992011533255	0	38.69	21	1	28	2	0	0.0	0.0	0.0
14	2018-05-15 21:17:26.952054-04:00	3.0	2	False	3.0	1.0	3.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	0.0	0.0	0.622508	0.0	0.0	0.0	0.634748	96.93658358850212	4.585582645126035	-1.4633376781907037	2	11.13	21	1	14	1	0	0.0	0.0	0.0
15	2018-05-15 23:31:34.975020-04:00	1.5	2	False	2.0	4.5	4.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	0.0	0.0	0.622508	0.0	0.0	0.0	0.634748	97.38810494658235	0.6660035349694746	-0.39792693474076013	0	28.09	21	0	0	0	0	0.0	0.0	0.0
16	2018-05-16 13:24:40.534133-04:00	3.0	0	True	3.0	1.0	1.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	0.62692	0.0	0.572165	0.0	0.699266	0.0	0.0	96.43460157784548	9.485297948386604	-0.9572563159956851	5	66.57	22	1	21	2	0	0.0	0.0	0.0
17	2018-05-16 14:26:26.893960-04:00	3.5	7	False	3.0	1.0	1.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	0.0	0.0	0.611673	0.0	0.508906	0.0	0.0	94.17320593472185	14.822479507789529	0.0	1	14.07	22	1	29	1	0	0.0	0.0	0.0
18	2018-05-16 15:32:28.799677-04:00	4.0	11	False	3.0	0.0	1.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	0.610829	0.0	0.616568	0.0	0.882683	0.0	0.0	97.34175344758432	4.161611448453467	-2.9496030254145755	0	16.0	22	1	58	2	0	0.0	0.0	0.0
19	2018-05-17 22:45:53.683152-04:00	4.0	1	False	4.0	0.0	2.0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.574498	0.0	0.0	0.0	0.0	94.9564193678491	91.7513853958942	59.055454403529936	1	99.71	26	1	26	5	0	0.0	0.0	0.0
20	2018-05-17 23:49:14.853957-04:00	4.5	1	False	4.0	1.0	3.0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	0.0	0.0	0.537748	0.0	0.0	0.0	0.0	94.9564193678491	91.7513853958942	59.055454403529936	1	56.73	22	1	126	25	0	74.29	1696.1799	1.2429669
