index	time	mood	unique_interactions	alone	morale	stress	fatigue	compulsions	email_activity	just_woke_up_activity	getting_ready_activity	errands_activity	resting_activity	with_parents_activity	reading_activity	with_friends_activity	therapy_activity	commuting_activity	meditation_activity	schoolwork_activity	washing_up_activity	with_k_activity	eating_activity	trying_to_leave_apt_activity	work_activity	tv_activity	working_out_activity	feedly_activity	leisure_activity	cooking_activity	ash_stuff_activity	chatting_activity	in_class_activity	workshop_activity	shopping_activity	studying_activity	working_activity	friend_home_location	library_location	la_location	therapy_location	parents_home_location	airport_location	vacation_location	home_location	cafe_location	mountain_view_location	k_home_location	school_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	word_count	uniqueword_ratio	backspace_count	avg_dwelltime	avg_flighttime	avg_attention	avg_engagement	avg_valence	blinks	productivity_score	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	phone_unlocks	phone_use_secs	walking_distance	walking_duration	avg_walking_speed	stepCount	time_of_day
time	1.0	-0.010617667606198793	0.063428221093123	-0.19169968625679054	-0.09741807435533008	0.08818459285559489	0.4254257346859636	-0.04198501846986582	-0.003816811706761928	0.0	0.0	-0.045449901517630974	-0.032437567515194055	0.0	0.03136480512650832	0.1250975498331563	0.03605502391293818	0.0	0.015440624925125037	0.23933567702332464	-0.12719125543940987	-0.09041765111497414	-0.06213366681673699	0.0	0.22637460095252943	-0.007589494672990753	-0.01789610544401416	-0.02007870727056572	0.030974328509475797	0.11439625907578072	-0.23835706285405106	-0.04456675623141224	0.18965463277195413	0.0	-0.06953250630106043	-0.10296878782900896	-0.04095801106074259	0.08968358964711672	0.10969586583639081	-0.23997353522302015	0.0	0.048302906835582395	0.006024063176294401	-0.44237032230452944	-0.019334850462550398	-0.017137753559299827	-0.35812200692645757	-0.05102765343622624	0.26524470643921677	-0.02149010227749614	-0.003186908164384344	-0.13180638151011564	0.003274861145850189	-0.17107545854171652	0.08709980991814789	-0.008867414366117873	-0.09979248702434182	0.11546421775189453	-0.05661478447251408	-0.03872123111726632	0.05922461740558286	-0.05631852516370493	0.06746511975591035	0.021091270482140892	0.030906646973091118	0.16244517829338798	0.37989773578196	0.0033707983092987294	0.31945943951896477	0.20849538292093084	0.014098636202246665	0.2313021635553425	0.17863224558766008	0.03216069090007962	0.03610236212994683	0.02052967721416808	0.0565940487437978	-0.007341597659405948
mood	-0.010617667606198793	1.0	0.15098541898257012	-0.29578748361753426	0.603292947465482	-0.3825075810825365	-0.33149862663664087	-0.17181322097896246	0.0005983793301558827	0.0	0.0	0.010076010839133256	0.03409571662972949	0.0	-0.04020235158194207	0.38275823924498215	0.006619660391695214	0.0	-0.06981503881325525	0.09924176744640975	-0.08870344924871655	0.24273965410981743	0.03727145639925153	0.0	0.12070549104199016	-0.22667542132952986	0.012466103776456142	-0.08457235236706075	-0.1925322749834148	-0.035667624595120614	-0.042430299191587806	0.1544683056894319	0.08215642832604872	0.0	0.0046746920444118625	0.04368169110137927	0.045371420983402966	0.10757722945026636	0.010507944981944937	0.06357036452509995	0.0	-0.12099707733003351	0.0046746920444118625	0.1257720017147761	-0.25433396187338525	0.1406183342366807	0.10566945255229596	0.14829991026162453	0.17714276402065343	0.02188669139874109	0.06116728753255452	0.08444181332413812	-0.07621752534141885	0.013259471189298011	0.04778970142656373	0.0345250563351025	0.16557396730641358	-0.15806621880272118	0.21591704987378618	0.004682661044621161	-0.052968400518844216	-0.09766607147675585	0.20383988739708045	0.1338683545559142	-0.03332136209683834	0.09992717824632688	0.04227315774006653	0.1672171278644574	0.03220470050425874	-0.002900462319337384	0.033145313149056374	-0.018442950877848703	-0.06418272102470607	-0.046612601362914466	-0.0436409977382416	-0.07392115682627834	0.07556480876897105	-0.013556703118402043
unique_interactions	0.063428221093123	0.15098541898257012	1.0	-0.17723412312025358	0.02117428816647213	0.1548817256222056	-0.056833309964630485	-0.038872798211277565	0.0657333197661899	0.0	0.0	0.07647482927467723	0.014917108664916585	0.0	-0.015312395843052655	0.183182384257219	0.029087385298388307	0.0	0.2017052519473424	-0.07856182768615176	0.003702030856158486	0.052756278344308564	0.047800108956882095	0.0	-0.07106917107605769	-0.1553764482442513	0.054777185272280884	0.010836218450726328	-0.05947250694129554	-0.012748109834466276	0.16856873205666478	0.45065441481910234	-0.01181463585001759	0.0	-0.05116581049995604	-0.04900120200752321	0.045843546159737354	0.017204668628248425	-0.050538292692220384	0.07185959644953979	0.0	0.19560805217200897	0.0205410188138511	-0.0012427159332554932	-0.16588472511931796	0.06538027633771522	-0.060971459280932255	-0.0038314615557320545	0.11269015685959992	0.09729514788884899	-0.04358963337281985	0.09694811955193762	0.0976670765614332	0.12143346353886075	0.1441997260862913	-0.1015000617576632	0.23611564920024866	-0.17240238865697896	0.08951418774841197	0.00665010534496572	-0.1934511883866544	0.027043117103185126	0.11969004220197715	0.13340635793412461	0.0824290164997394	-0.0783372265519413	-0.14636959352427584	-0.05636127467967465	0.15947389151862787	0.11177037369606636	0.060090673961592685	0.32564480352632025	0.21560373173757366	0.0036679379024855546	0.008379806645555805	-0.0201910211064111	0.12112116240580456	0.006572396893830338
alone	-0.19169968625679054	-0.29578748361753426	-0.17723412312025358	1.0	-0.14865279606486756	-0.030868837432019475	0.004767935516487876	0.11845133237033335	0.018881372801234014	0.0	0.0	0.12524921782015067	-0.017077183985952	0.0	0.029501220638256304	-0.4551602666614715	0.04177559931443568	0.0	0.051231551957855996	-0.15973930708474599	0.04177559931443554	-0.3492151478847891	0.041265630706011525	0.0	-0.1383910922744366	0.17745588056431305	0.0786715519470971	0.07049163123399142	0.17217163878014846	0.05923488777590925	0.08276549287176473	0.033614632272640714	-0.3110855084191276	0.0	0.02950122063825631	-0.018881372801233892	0.08421519210665243	-0.3351851994348013	-0.1989417915160347	0.04267895997763199	0.0	-0.22740226283385406	-0.08850366191476837	0.11686198941990868	0.725007655378603	-0.21821789023599236	0.11173184840526999	-0.2250497619701974	-0.545202138819471	-0.018638383468473546	0.016727038148256716	-0.018343220637141507	0.07265134012998568	0.03475304210282509	-0.002479589423574023	-0.04108386724591515	-0.16857502676321406	0.16828384496871504	-0.19818565125544985	-0.08780018254306257	0.00587763999524076	0.13519651768083243	-0.06992514216491284	-0.00663736986736558	0.08779781573972216	-0.16863819239055963	0.03230887762553746	-0.10140633108246563	-0.18595770518024776	-0.10865387423123155	-0.020112949667728575	-0.06407845739556019	0.002829570623520175	0.105103602031523	0.10211431641722403	0.1313341247561915	-0.13681612644632438	0.015232192324255595
morale	-0.09741807435533008	0.603292947465482	0.02117428816647213	-0.14865279606486756	1.0	-0.2608287867465771	-0.5611080596309163	-0.14200416479614875	0.05660007404013102	0.0	0.0	0.006572960763471559	0.01134791738534779	0.0	-0.11614152517800184	0.11988880897048389	0.025045869695590965	0.0	-0.00801919495231244	0.3815541174785594	-0.16446376504543095	0.1842009722702929	0.05868162997900513	0.0	0.3934904087287319	-0.3986631140250228	0.008928722949226765	-0.19364425002628516	-0.42414996774746644	-0.031664565622617935	0.10310921883374986	-0.12161351559188788	0.06216872397535193	0.0	0.01768696895058848	0.04589345904928811	0.038551344746185996	-0.00541758868600549	0.0698398822554321	0.19776715282165472	0.0	-0.035665616634589184	0.01768696895058851	0.32756197935817105	-0.2506702940262778	0.15360046468538888	0.24858301069021183	0.07858966454085069	0.10725015335736375	-0.08522439088618455	0.12618182404223469	0.0031272862962115435	-0.11424284495227026	-0.05621459493460076	-0.009493917580945222	0.006060005530597991	0.09282230587190776	-0.1341320601959054	0.25597987718300513	-0.031777519637616256	0.12730482987825142	-0.0938854128446192	0.09813491770358042	-0.01961804391728594	-0.006901783867839746	0.26484854017878917	0.19927778499775828	0.16913461447711556	-0.022750248387459468	-0.007835956760679315	0.02518598922542738	-0.07075742131742077	-0.05673327163060367	-0.14681983238690724	-0.15104855498390404	-0.16760121663246713	0.061662889575489634	-0.20124974378693306
stress	0.08818459285559489	-0.3825075810825365	0.1548817256222056	-0.030868837432019475	-0.2608287867465771	1.0	0.1612048374551007	0.05015906111697618	-0.013405458632376775	0.0	0.0	0.03122778946574399	-0.03426493305683751	0.0	-0.039158740508924476	-0.06110232948407805	-0.014185206022487481	0.0	0.10068618790547637	0.001395556613746032	-0.034818232964287085	-0.10851731399713221	-0.007006021251864915	0.0	0.006129351316180576	-0.061597939946961194	0.02879506369272969	-0.02020566511674225	-0.08275806824886536	0.02377065757375997	0.07649594959527538	0.19749835914229347	-0.0010669831096496861	0.0	-0.03915874050892459	-0.06003314083194805	0.04419362626559128	-0.021634170992032315	0.029886695527616747	-0.07860784267992552	0.0	0.2841108336051251	0.04826542434820889	-0.10836610835170166	-0.12682081288815877	0.011226887630755198	-0.07134050946893265	-0.001197762847650466	0.031614775648152495	0.08103619087779626	-0.0248828922367303	-0.06207525698993623	0.14313058976122797	0.02063278265901299	0.142303098715193	-0.06494389604537736	0.09074211062235157	-0.10239475037754735	0.01781537586443741	-0.04804694055801564	-0.06356943122585536	0.027443856975489483	-0.05105298781940624	-0.08156249624027638	0.02720931094499492	0.012935149242321017	-0.1003511485025841	-0.03907820572164419	0.08170882335634677	0.028237776367743075	0.00745036048285796	0.11159082538272087	0.0805496176126058	-0.06507019367088651	-0.06226456700893315	-0.0788999340029303	-0.013546456629663702	-0.09141473000184151
fatigue	0.4254257346859636	-0.33149862663664087	-0.056833309964630485	0.004767935516487876	-0.5611080596309163	0.1612048374551007	1.0	0.06138597142361085	-0.03715467289878286	0.0	0.0	-0.04258354153006615	0.009317107507231864	0.0	0.09024338431643526	-0.08909252497444428	-0.0033292076503117288	0.0	-0.004082777446989244	-0.09029279739484997	0.1114004098373537	-0.045812257147289155	-0.08765295641591868	0.0	-0.09416856631668806	0.1857543219232322	0.02018655179872818	0.05191709204934648	0.1557538309157807	0.07661871569063247	-0.09995174357345123	0.004189978433258828	0.03919979916962938	0.0	-0.09494544442109903	-0.01493131714623981	-0.014971430004070536	0.02133207465426611	-0.03650530229433252	-0.1218326867702187	0.0	0.02516576539702098	-0.002351030052331986	-0.40556140221232917	0.26576235703558243	-0.09141086142162617	-0.40948530840200376	0.02116973461115646	-0.09098904367166423	0.04761778302621829	-0.04320532768985374	-0.05296092375078258	0.16653823943954674	-0.025810900304484307	0.05855313576319447	0.029549408932316678	-0.03196343706882476	0.04887377410710172	-0.13427469497760663	0.07025346007440648	-0.04637373625149718	0.010326800107900066	-0.0346270866724948	0.0635530147748733	0.013545844488478728	-0.0993336487445914	-0.05182569275399937	-0.16020299833529136	0.09564410377109687	0.08431454845733945	0.054250442623699456	0.1486192013838866	0.12816356906804138	0.21766233821136707	0.2193010536075552	0.20136885833711288	-0.01774943346593111	0.27369409225201063
compulsions	-0.04198501846986582	-0.17181322097896246	-0.038872798211277565	0.11845133237033335	-0.14200416479614875	0.05015906111697618	0.06138597142361085	1.0	0.00980629650933591	0.0	0.0	-0.10034009278938352	-0.10222996799607328	0.0	0.04435274746462967	-0.08130552530174867	-0.010277395060217756	0.0	0.01727172975276124	0.020184586808033096	-0.08336109326621043	0.03924371752260723	-0.02763582438152666	0.0	0.009703986088469629	0.12067460162664875	-0.039015866003324316	-0.06468822512791483	0.0679051635494219	-0.01457262978894752	0.06161681246593903	-0.041348402098266804	-0.1464491386607429	0.0	-0.05886819208941776	0.07586976773012515	-0.020718142014855886	0.01582572452755591	-0.03951655860529962	0.09294121092106335	0.0	0.045475117910782556	0.04435274746462969	0.07091597893274741	0.07832839768063495	0.024522651135470995	0.012377472218731991	-0.015061102400568181	-0.19791818685310822	0.09741617613049175	-0.0723896158020777	-0.011231835998991465	-0.00787195889339529	-0.02543869489666136	0.023064400286897505	-0.005862478581734553	0.03867665032153364	-0.01311344524987689	-0.012376312570088619	0.050918267604784656	0.033652912242273826	0.087590725503034	-0.0270483914485851	-0.010747128654427139	-0.15858518346475597	0.04407413830591431	0.05875121268332468	0.015648015854690493	-0.040872940570019306	-0.02505436528571573	-0.01319486226114392	-0.15203916568461695	-0.08665050622841482	-0.010275059539824076	-0.006643536992001838	0.016142934176542403	-0.10469774515037333	0.07553660301274091
email_activity	-0.003816811706761928	0.0005983793301558827	0.0657333197661899	0.018881372801234014	0.05660007404013102	-0.013405458632376775	-0.03715467289878286	0.00980629650933591	1.0	0.0	0.0	-0.057302793079880246	-0.01450983047553093	0.0	-0.008355353174435707	-0.05096471914376269	-0.01183170996976257	0.0	-0.014509830475531178	0.04387568116279342	-0.011831709969762705	0.05143055888139506	0.0035061829075721273	0.0	0.03783189553330441	-0.08718425636326892	-0.022281403517471803	0.11009095815357746	-0.03204396370498689	-0.01677653998404299	0.04936376056802549	-0.04760178026370863	-0.029368607287614784	0.0	-0.008355353174435785	-0.026737967914437964	-0.02385147656539878	0.023128729060088504	-0.018781470656798027	0.11845809105367229	0.0	0.021016369565165404	0.3124902087238937	0.04210030216517447	-0.014755826045078062	-0.020601266687222838	-0.044968869832731545	0.05143055888139515	-0.05339496713523069	-0.05496398022510224	0.096575328847044	0.01302162593151092	-0.046406855380879374	-0.005741524841157752	0.0977125825441226	-0.01008316767451801	0.07302122835773518	-0.06696654196397275	0.11577267018180719	-0.006787649276040485	-0.06557716456383185	0.022361752695396753	0.051485480737507465	0.012225556253782011	0.035643317411575656	-0.023497777170990167	-0.005490323669135004	-0.03205562886698732	0.0036023351140889196	0.04624890407735042	0.036456969677647506	0.04926584091414131	0.05252672150922514	-0.032673160173047	-0.03455938468131375	-0.02680276937736807	0.0007394110074351236	-0.11295674665330117
just_woke_up_activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
