	time	mood	social	alone	morale	stress	fatigue	compulsions	ash_stuff_activity	getting_ready_activity	errands_activity	leisure_activity	studying_activity	chatting_activity	workshop_activity	in_class_activity	tv_activity	meditation_activity	with_k_activity	eating_activity	working_out_activity	reading_activity	cooking_activity	feedly_activity	with_friends_activity	therapy_activity	commuting_activity	school_work_activity	with_parents_activity	trying_to_leave_apt_activity	working_activity	schoolwork_activity	shopping_activity	work_activity	email_activity	washing_up_activity	resting_activity	just_woke_up_activity	errandss_activity	mountain_view_location	parents_home_location	vacation_location	la_location	school_location	therapy_location	airport_location	home_location	cafe_location	library_location	michelle_home_location	k_home_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	avg_attention	avg_engagement	avg_valence	blinks	productivity_score	heart_rate	spo2	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	calorie	distance	mean_speed
12	2018-05-23 19:16:11.521331-04:00	4.5	5	False	4.5	0.0	1.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.542857	0.0	0.559979	0.0	0.840363	0.0	0.0	96.70371429004443	24.27739627202957	-7.632978540285792	1	56.81	73.0	93.0	22	1	14	3	0	0.0	0.0	0.0
13	2018-05-23 20:18:53.374607-04:00	4.0	2	False	4.0	0.0	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.542857	0.0	0.559979	0.0	0.840363	0.0	0.0	96.70371429004443	24.27739627202957	-7.632978540285792	1	60.49	73.0	93.0	22	1	0	0	0	60.47	1426.05	1.380288
14	2018-05-24 16:46:03.133409-04:00	3.0	3	True	4.0	1.0	3.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.0	0.0	0.890302	0.0	0.0	96.08420838336555	15.035046109526741	-1.941289524490736	12	65.51	74.0	95.0	30	1	9	2	0	0.0	0.0	0.0
15	2018-05-24 17:47:01.866590-04:00	2.5	3	True	3.5	0.5	3.5	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.544697	0.0	0.0	0.0	0.0	0.0	0.0	91.92544834788252	25.88479153882968	-15.646640650250696	10	89.69	71.0	93.0	25	1	48	4	0	0.0	0.0	0.0
16	2018-05-24 19:15:38.710480-04:00	2.5	1	True	3.0	1.0	3.5	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.573868	0.0	0.572785	0.0	0.795905	0.0	0.0	91.92544834788252	25.88479153882968	-15.646640650250696	10	48.03	71.0	93.0	24	1	10	1	0	0.0	0.0	0.0
17	2018-05-25 17:28:34.368058-04:00	4.0	6	False	4.0	0.0	1.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.864204	0.0	0.0	0.0	0.880065	91.18831897172771	86.6720067975951	41.75294292345643	0	39.93	71.0	95.0	28	1	42	1	0	0.0	0.0	0.0
18	2018-05-25 19:07:02.871688-04:00	3.5	4	False	3.5	9.0	1.5	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.572869	0.0	0.592987	0.0	0.0	0.582726	0.0	91.18831897172771	86.6720067975951	41.75294292345643	0	55.85	71.0	95.0	27	1	59	10	1	50.59	1082.22	1.2348822
19	2018-05-29 17:46:04.957384-04:00	3.0	1	True	2.0	0.5	2.0	True	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.502203	0.5666	0.858077	0.0	0.0	95.57539102672476	0.09709004447919077	-0.06604544462355892	7	22.61	68.0	91.0	26	2	17	7	0	0.0	0.0	0.0
20	2018-05-29 18:48:16.198917-04:00	3.0	0	True	2.5	0.0	3.0	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.2941233170479	0.13361848628830153	-0.058768319121698824	0	30.7	68.0	91.0	23	2	2	0	0	0.0	0.0	0.0
21	2018-05-29 19:49:07.174647-04:00	2.5	1	True	2.5	0.0	3.5	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.602615	0.0	0.68523	0.0	0.0	97.2941233170479	0.13361848628830153	-0.058768319121698824	0	23.07	68.0	91.0	24	2	1	0	0	204.86	3911.11	2.0959198
22	2018-05-29 23:20:17.800829-04:00	3.5	1	False	2.5	0.0	3.0	True	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	0.620387	0.0	0.0	0.0	0.911392	0.0	0.0	97.0664460905667	10.819910793019266	3.3422391578640744	0	21.25	79.0	88.0	23	2	31	16	0	0.0	0.0	0.0
23	2018-05-30 16:54:24.213500-04:00	3.5	4	False	4.5	0.0	1.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.518098	0.715468	0.0	0.0	0.733641	0.0	0.0	87.40125462266265	49.79853077782471	-6.411371061547857	0	95.61	67.0	94.0	27	2	121	15	2	0.0	0.0	0.0
24	2018-05-30 18:04:02.667050-04:00	3.5	3	False	4.0	0.0	1.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.518098	0.715468	0.0	0.0	0.733641	0.0	0.0	87.40125462266265	49.79853077782471	-6.411371061547857	0	59.46	75.0	90.0	26	2	39	7	0	37.78	878.73	1.3612407
25	2018-05-30 20:03:48.277438-04:00	3.0	1	True	3.0	0.0	1.5	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.518098	0.715468	0.0	0.0	0.733641	0.0	0.0	97.81729307073824	2.139163663380995	-0.011390727359175542	0	28.13	77.0	97.0	28	2	18	8	1	42.66	961.45	1.3442549
26	2018-05-31 00:54:24.027759-04:00	3.0	0	True	2.0	0.0	3.5	True	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.0	0.0	0.852741	0.0	0.0	97.74086774297122	0.323982134398793	0.0	0	51.7	72.0	93.0	25	2	24	2	0	45.88	1096.09	1.4196236999999998
27	2018-06-02 20:19:14.888844-04:00	3.0	0	True	3.0	0.0	1.5	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0.890603	96.86280663926362	0.22899834634424585	0.09800154640993665	11	33.5	79.0	90.0	23	2	16	4	0	50.07	1022.67	1.2870184999999998
