distance	duration	create_time	mean_speed	calorie
2884.75	2296318	1511388441.771	1.2562503	127.81
1087.17	850265	1509236099.067	1.2786249	47.05
1184.79	972793	1510980077.604	1.217926	51.62
1016.07	775192	1507519657.481	1.3107332	44.59
818.29	661528	1517374569.339	1.2369697	35.17
847.21	658316	1509399070.85	1.2869351	36.51
1506.97	1137117	1536781853.417	1.325255	64.93
1011.09	779802	1509943047.485	1.2965984	42.81
1263.48	1030881	1499489301.721	1.2256312	55.21
2580.57	1988354	1504992895.181	1.2978424	110.4
863.1	662279	1530236099.783	1.3032273	36.96
990.94	747675	1493230050.833	1.325362	42.47
1014.58997	865130	1492573682.946	1.1727601	43.61
1106.69	1031600	1499724337.766	1.0727899	48.149998
1111.97	848009	1499831257.766	1.3112714	47.579998
1021.21	761532	1505439582.583	1.3409942	44.17
872.23	701200	1508285699.463	1.2439104	37.14
1062.29	817055	1504152896.783	1.300145	47.74
1256.96	993212	1526937987.27	1.2655505	59.22
799.17	671880	1496755394.235	1.1894535	34.77
1091.87	834950	1528396984.183	1.3077071	48.94
994.04	826886	1531290321.411	1.2021487	47.92
813.77	676426	1521833698.7	1.2030436	36.16
1040.0	898273	1507003841.619	1.1577772	44.05
926.92	731206	1536882685.211	1.2676591	41.08
843.59	685682	1507231893.583	1.2302934	37.95
1327.83	1074398	1529981479.938	1.2358829	56.8
1440.89	1601757	1496501331.494	0.89956844	71.39
1046.51	800622	1519283419.408	1.3071213	45.15
1392.74	1083359	1521568906.695	1.2855757	60.77
718.78	661211	1527900991.845	1.0870659	30.58
2931.46	2156454	1512798293.589	1.3593891	124.58
848.93	751442	1525284673.783	1.1297345	40.61
1689.11	1334055	1533458256.629	1.2661471	77.62
1606.54	1239194	1510286968.101	1.2964395	68.729996
1132.24	892124	1519518949.889	1.269151	47.01
1131.75	862870	1507341045.068	1.3116112	49.82
874.13	668345	1528742710.659	1.3079023	38.14
1350.2	1228484	1508876657.09	1.0990782	63.07
727.85	635958	1510461917.31	1.1444938	37.45
1612.51	1266482	1529903906.737	1.2732198	70.13
1669.14	1416480	1516313532.344	1.1783717	74.63
1661.88	1323091	1517472497.27	1.2560588	75.14
1480.49	1133630	1528512149.811	1.3059729	64.32
1179.54	812513	1513729131.907	1.4517183	51.42
972.5	785095	1508862788.529	1.2387036	43.88
1523.16	1163318	1504127688.244	1.3093239	65.46
1705.64	1342778	1518221542.778	1.2702323	71.99
1493.02	1112247	1528079699.119	1.3423458	63.45
761.33	674653	1504578863.965	1.1284764	34.54
1655.15	1201124	1513507423.369	1.378001	71.06
958.89	763746	1512363925.611	1.255509	42.33
718.88	629640	1527658499.21	1.1417317	33.06
1728.02	1255700	1518480266.879	1.3761408	73.8
1037.45	677318	1533683154.597	1.5317029	49.59
841.95	648248	1513152141.325	1.2988085	38.91
932.47	663856	1529039617.838	1.4046268	41.52
782.45	664272	1513041159.792	1.177906	35.6
1707.55	1398481	1520906209.069	1.2210034	76.64
1059.55	912864	1517209364.314	1.1606878	49.23
1922.43	1617206	1526716786.004	1.1887355	89.14
1696.37	1461724	1525484439.178	1.160527	73.5
802.21	712152	1505273331.702	1.1264589	34.14
2150.61	1636029	1503100735.198	1.3145306	92.28
1693.77	1389906	1525910145.549	1.218622	71.5
1081.4199	871484	1508491109.731	1.2408948	47.04
813.35	685060	1509958556.198	1.1872683	36.579998
837.47	700038	1516487989.005	1.1963207	38.12
1135.41	929020	1507070110.596	1.2221588	49.13
913.94	736086	1534142904.44	1.2416213	39.14
1458.78	1170788	1528674893.736	1.2459813	66.57
1022.19	774498	1508568381.758	1.3198097	44.18
1292.78	1137114	1510545926.795	1.1368957	63.72
2333.56	1835912	1496848859.766	1.2710631	100.51
1703.67	1317151	1536812672.944	1.2934508	75.37
773.14	656175	1515970439.987	1.1782526	33.41
789.78	692689	1527545942.273	1.1401653	34.62
1315.33	1080000	1521265140.727	1.2178981	58.26
1244.85	1010528	1511913030.549	1.2318807	54.22
1035.95	844992	1536028186.683	1.2259879	48.87
2009.61	1485679	1536892081.03	1.3526543	86.13
1284.09	1082108	1535077145.814	1.1866561	55.24
1232.34	1064104	1509168532.49	1.158101	53.12
1691.23	1329112	1521589641.957	1.272451	81.27
941.55	702595	1507220924.155	1.3401035	40.35
1123.44	966049	1522131294.427	1.1629224	49.01
1592.78	1210164	1502585698.959	1.3161688	66.96
865.74	668965	1524961710.339	1.2941484	38.44
805.09	673842	1497280486.658	1.1947757	35.46
2072.99	1507205	1504414499.758	1.3753868	89.69
1368.15	1105720	1511219251.625	1.2373384	60.66
1499.55	1254402	1502501968.969	1.1954303	64.03
876.77	670738	1531161336.29	1.3071722	38.47
1507.66	1147054	1526594383.406	1.3143758	64.95
1342.79	920560	1524611073.808	1.4586664	58.33
1771.12	1514817	1513953109.325	1.1691973	77.11
1623.0599	1273954	1506829601.43	1.2740333	72.28
958.31	745447	1500704854.039	1.2855508	41.99
1675.23	1364917	1500770404.903	1.2273493	72.67
837.48	684016	1514384175.121	1.2243572	35.91
1248.7	1060781	1493001356.964	1.1771516	53.46
