com.samsung.shealth.calories_burned,6000085,1
tef_calorie,active_time,pkg_name,update_time,create_time,datauuid,rest_calorie,active_calorie,day_time,deviceuuid
0.0,24812,com.sec.android.app.shealth,2018-02-04 05:00:01.882,2018-02-03 05:00:03.364,17dde353-5063-47c8-ab83-6d3d8081e3d9,1366.9701,1.3199999,1517616000000,avnWu77KPA
0.0,4591474,com.sec.android.app.shealth,2018-07-15 04:00:01.715,2018-07-14 04:08:29.214,184a00f0-6701-453f-a62b-9484ad491665,1294.6984,235.12604,1531526400000,avnWu77KPA
0.0,7800200,com.sec.android.app.shealth,2018-09-12 06:48:15.782,2018-08-17 06:00:01.128,18cfaa55-5422-49b4-a810-d939c0ff774b,1243.9172,428.566,1534464000000,dgrrqaEJmv
0.0,2656175,com.sec.android.app.shealth,2017-10-27 05:16:20.611,2017-10-27 05:16:20.611,196ed7cc-27db-454b-89f1-51d991bc1462,1329.5231,145.19998,1507334400000,avnWu77KPA
0.0,12778194,com.sec.android.app.shealth,2018-01-03 02:58:55.936,2017-12-11 05:00:00.735,19760bbd-06ee-4c5e-8f3a-44b9cfe6df99,1165.1356,682.7495,1512950400000,avnWu77KPA
0.0,5771267,com.sec.android.app.shealth,2018-04-25 04:00:02.366,2018-04-24 04:00:01.823,1a23327e-972f-48c2-a924-6cc6eb59347b,1276.027,338.15485,1524528000000,avnWu77KPA
0.0,4368381,com.sec.android.app.shealth,2017-10-27 05:16:21.446,2017-10-27 05:16:21.446,1ab4af80-dbca-4c94-8952-7282b2f0a9f6,1302.34,246.64635,1508112000000,avnWu77KPA
0.0,21344,com.sec.android.app.shealth,2018-03-04 05:00:01.429,2018-03-03 05:02:44.634,1be56981-386d-4ba3-810f-96ac18993cf0,1367.025,1.04,1520035200000,avnWu77KPA
0.0,5581113,com.sec.android.app.shealth,2018-06-26 07:01:03.342,2018-06-25 07:00:02.773,1d0727f4-b414-41e7-bbaf-c9ca7d470d6c,1279.0364,290.5065,1529884800000,avnWu77KPA
0.0,7320229,com.sec.android.app.shealth,2017-10-29 04:00:03.845,2017-10-28 04:01:09.521,1e83855d-3105-45d4-83ed-7f98895051cd,1255.4762,395.574,1509148800000,avnWu77KPA
0.0,3369018,com.sec.android.app.shealth,2018-01-03 02:58:59.414,2017-12-22 16:03:13.270,1f3e7fac-6187-4c14-8177-c1b2b4f5c26a,1314.0449,176.14267,1513987200000,avnWu77KPA
0.0,8411139,com.sec.android.app.shealth,2018-01-03 02:58:59.014,2017-12-21 16:34:59.519,1fcc798e-ec53-4507-b9a3-98e8c7fe2069,1234.2485,433.68744,1513900800000,avnWu77KPA
0.0,4410734,com.sec.android.app.shealth,2018-07-26 04:10:15.184,2018-07-25 05:26:30.952,2032da33-1fc3-4b3e-b358-6f6ffbfe86c9,1297.5587,227.554,1532476800000,dgrrqaEJmv
0.0,5784057,com.sec.android.app.shealth,2017-11-20 05:00:35.884,2017-11-19 05:00:06.306,22f3b9ad-33bc-47e4-98de-23fce4eed51c,1279.8646,324.62967,1511049600000,avnWu77KPA
0.0,1370170,com.sec.android.app.shealth,2018-04-30 04:02:33.105,2018-04-29 04:00:48.846,23076963-9795-4b44-a288-55dae499dd23,1345.6786,70.888,1524960000000,avnWu77KPA
0.0,4070646,com.sec.android.app.shealth,2018-01-03 02:58:55.314,2017-12-09 05:00:01.571,2389d7b0-73c8-40e7-a6fd-062c629fc8f2,1302.9409,227.34,1512777600000,avnWu77KPA
0.0,7195603,com.sec.android.app.shealth,2017-11-06 05:00:01.749,2017-11-05 04:00:41.138,23dbaf24-7399-4bd2-9f22-5875e09335e2,1257.4548,390.81854,1509840000000,avnWu77KPA
0.0,5890737,com.sec.android.app.shealth,2018-04-27 04:58:03.904,2018-04-26 04:00:02.566,258d7d37-d773-4b7f-a7ef-a33d7bf71c6f,1274.1362,329.31415,1524700800000,avnWu77KPA
0.0,7056259,com.sec.android.app.shealth,2018-01-03 02:58:54.020,2017-12-07 05:00:05.059,25fad332-0b67-4692-b9ea-fcf600f8332b,1255.6908,395.62402,1512604800000,avnWu77KPA
0.0,20010,com.sec.android.app.shealth,2018-03-22 04:00:08.331,2018-03-21 04:00:09.148,27446fdc-4ecb-498b-a071-690cd857de64,1367.0461,0.98,1521590400000,avnWu77KPA
0.0,10028621,com.sec.android.app.shealth,2018-05-18 04:00:04.683,2018-05-17 04:00:24.596,276632a8-d6a8-48be-9151-a324925229be,1208.6501,548.13763,1526515200000,avnWu77KPA
0.0,2183101,com.sec.android.app.shealth,2018-06-30 07:01:01.112,2018-06-29 07:00:05.687,27927d4e-4297-4031-8b3c-c2cc09dcc6b6,1332.8131,105.57,1530230400000,avnWu77KPA
