com.samsung.health.heart_rate,6000085,7
create_time,time_offset,max,heart_beat_count,custom,end_time,heart_rate,deviceuuid,start_time,pkg_name,update_time,min,binning_data,datauuid,comment
2018-06-05 00:50:36.013,UTC-0300,92.0,0,,2018-06-05 00:50:20.625,92.0,avnWu77KPA,2018-06-05 00:50:20.625,com.sec.android.app.shealth,2018-06-05 00:50:36.013,92.0,,082a6dd9-4910-4daa-ba4f-893e7fb49f5a,
2018-05-21 21:54:39.902,UTC-0300,69.0,0,,2018-05-21 21:54:25.717,69.0,avnWu77KPA,2018-05-21 21:54:25.717,com.sec.android.app.shealth,2018-05-21 21:54:39.902,69.0,,086f7d9c-c612-4854-96f3-3da88854828c,
2018-08-10 21:18:09.780,UTC-0400,92.0,0,,2018-08-10 21:17:54.534,92.0,dgrrqaEJmv,2018-08-10 21:17:54.534,com.sec.android.app.shealth,2018-08-10 21:18:09.780,92.0,,091953c2-dc26-414c-aa5e-4416893407e5,
2018-09-11 21:02:02.281,UTC-0300,71.0,0,,2018-09-11 21:01:55.098,71.0,dgrrqaEJmv,2018-09-11 21:01:55.098,com.sec.android.app.shealth,2018-09-11 21:02:02.281,71.0,,092ec177-0e9b-4f37-a258-3473fa6001ec,
2018-05-18 21:05:44.861,UTC-0300,72.0,0,,2018-05-18 21:05:37.344,72.0,avnWu77KPA,2018-05-18 21:05:37.344,com.sec.android.app.shealth,2018-05-18 21:05:44.861,72.0,,094bbc2b-a643-4033-8e90-3a368dac5cb4,
2018-06-05 23:37:13.200,UTC-0300,71.0,0,,2018-06-05 23:37:03.897,71.0,avnWu77KPA,2018-06-05 23:37:03.897,com.sec.android.app.shealth,2018-06-05 23:37:13.200,71.0,,0a6f4ae7-06f9-47d6-8579-bca17c3da3c8,
2018-06-05 05:02:15.270,UTC-0300,70.0,0,,2018-06-05 05:02:08.327,70.0,avnWu77KPA,2018-06-05 05:02:08.327,com.sec.android.app.shealth,2018-06-05 05:02:15.270,70.0,,0a707b61-3706-4d36-a2ca-1a158f265ced,
2018-06-27 19:35:41.908,UTC-0600,75.0,0,,2018-06-27 19:35:16.543,75.0,avnWu77KPA,2018-06-27 19:35:16.543,com.sec.android.app.shealth,2018-06-27 19:35:41.908,75.0,,0afe16b5-de86-44ea-ab62-d43972fd088f,
2018-05-22 18:36:29.978,UTC-0300,64.0,0,,2018-05-22 18:36:13.893,64.0,avnWu77KPA,2018-05-22 18:36:13.893,com.sec.android.app.shealth,2018-05-22 18:36:29.978,64.0,,0b267a1d-35da-415e-b39c-09fdea80e565,
2018-05-31 03:44:46.121,UTC-0300,77.0,0,,2018-05-31 03:44:35.299,77.0,avnWu77KPA,2018-05-31 03:44:35.299,com.sec.android.app.shealth,2018-05-31 03:44:46.121,77.0,,0bedf031-f00c-4c95-9c2d-b0a9248b65af,
2018-08-14 23:11:48.049,UTC-0500,79.0,0,,2018-08-14 23:11:37.455,79.0,dgrrqaEJmv,2018-08-14 23:11:37.455,com.sec.android.app.shealth,2018-08-14 23:11:48.049,79.0,,0cc7aed6-95e7-4380-96da-115faec7307c,
2018-07-28 03:44:12.681,UTC-0300,72.0,0,,2018-07-28 03:44:00.269,72.0,dgrrqaEJmv,2018-07-28 03:44:00.269,com.sec.android.app.shealth,2018-07-28 03:44:12.681,72.0,,0d1715af-31bb-4192-88d7-c69b98057f34,
2018-08-15 06:49:35.496,UTC-0500,70.0,0,,2018-08-15 06:49:30.964,70.0,dgrrqaEJmv,2018-08-15 06:49:30.964,com.sec.android.app.shealth,2018-08-15 06:49:35.496,70.0,,0f0b28b7-c201-40d8-914f-067ae9e6c8b2,
2018-09-11 16:27:25.152,UTC-0300,87.0,0,,2018-09-11 16:27:17.810,87.0,dgrrqaEJmv,2018-09-11 16:27:17.810,com.sec.android.app.shealth,2018-09-11 16:27:25.152,87.0,,10645186-feff-47d2-91fd-b3b96447e59b,
2018-06-03 04:55:43.491,UTC-0300,63.0,0,,2018-06-03 04:55:34.567,63.0,avnWu77KPA,2018-06-03 04:55:34.567,com.sec.android.app.shealth,2018-06-03 04:55:43.491,63.0,,10744452-0c35-4d71-a10d-65011ad5f40c,
2018-07-10 12:46:45.458,UTC-0300,67.0,0,,2018-07-10 12:46:27.137,67.0,avnWu77KPA,2018-07-10 12:46:27.137,com.sec.android.app.shealth,2018-07-10 12:46:45.458,67.0,,107b8b93-dcc7-47dc-8df9-47db40c0f428,
2018-06-11 21:09:06.367,UTC-0300,79.0,0,,2018-06-11 21:08:59.820,79.0,avnWu77KPA,2018-06-11 21:08:59.820,com.sec.android.app.shealth,2018-06-11 21:09:06.367,79.0,,10f1f827-8695-4626-a383-8631d1c09523,
2018-05-19 18:39:47.284,UTC-0300,76.0,0,,2018-05-19 18:39:35.871,76.0,avnWu77KPA,2018-05-19 18:39:35.871,com.sec.android.app.shealth,2018-05-19 18:39:47.284,76.0,,111a1485-52d8-460c-851f-a6b7c23d69d9,
