max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,time_offset,mean_speed,mean_heart_rate,custom,count_type,min_altitude,count,end_time,max_speed,exercise_type,start_time,max_power,pkg_name,mean_power,min_heart_rate,calorie,comment,max_heart_rate,mean_cadence,exercise_custom_type
,0000e260-6d8c-46cb-b47c-530a240ef50a.live_data.json,,1014.46,,,,avnWu77KPA,831010,2017-09-27 02:41:44.838,0000e260-6d8c-46cb-b47c-530a240ef50a,,,,,,,,2017-09-27 02:41:44.838,UTC-0300,1.2207555,,,,,,2017-09-27 02:39:16.000,1.7777778,1001,2017-09-27 02:25:25.000,,com.sec.android.app.shealth,,,46.86,,,,
,0035f1b4-db29-4e0f-bf24-70eada6cedde.live_data.json,,1003.42,,,,avnWu77KPA,917462,2018-02-06 17:16:52.129,0035f1b4-db29-4e0f-bf24-70eada6cedde,,,,,,,,2018-02-06 17:16:52.129,UTC-0400,1.0936911,,,,,,2018-02-06 16:31:22.000,1.5277778,1001,2018-02-06 16:16:05.000,,com.sec.android.app.shealth,,,45.57,,,,
,003b4263-e5de-49fd-a535-db26776f8b63.live_data.json,,1650.49,,,,avnWu77KPA,1223656,2018-02-28 22:46:00.900,003b4263-e5de-49fd-a535-db26776f8b63,,,,,,,,2018-02-28 22:46:00.900,UTC-0400,1.3488187,,,,,,2018-02-28 22:45:01.000,1.6111112,1001,2018-02-28 22:24:38.000,,com.sec.android.app.shealth,,,71.41,,,,
,008c24dc-9acb-4791-a938-0c8391be8ec6.live_data.json,,966.04,,,,avnWu77KPA,831594,2017-10-04 22:32:06.271,008c24dc-9acb-4791-a938-0c8391be8ec6,,,,,,,,2017-10-04 22:32:06.271,UTC-0300,1.1616726,,,,,,2017-10-04 22:30:51.000,1.5833334,1001,2017-10-04 22:17:00.000,,com.sec.android.app.shealth,,,42.23,,,,
,00ea36a2-9606-48b2-af6d-12ee0d9f96ad.live_data.json,,1096.09,,,,avnWu77KPA,772099,2018-05-30 23:07:25.527,00ea36a2-9606-48b2-af6d-12ee0d9f96ad,,,,,,,,2018-05-30 23:07:25.527,UTC-0300,1.4196237,,,,,,2018-05-30 23:03:11.000,1.5555556,1001,2018-05-30 22:50:19.000,,com.sec.android.app.shealth,,,45.88,,,,
,012b0a05-db05-48d2-9dc6-84a33d2ca727.live_data.json,,1702.49,,,,dgrrqaEJmv,1233281,2018-08-19 01:18:53.128,012b0a05-db05-48d2-9dc6-84a33d2ca727,,,,,,,,2018-08-19 01:18:53.128,UTC-0300,1.3804559,,,,,,2018-08-19 01:17:43.000,1.6111112,1001,2018-08-19 00:57:10.000,,com.sec.android.app.shealth,,,72.24,,,,
,015df355-438c-44dc-9c37-1be4b666aef4.live_data.json,,834.67,,,,avnWu77KPA,684084,2018-04-11 13:01:04.130,015df355-438c-44dc-9c37-1be4b666aef4,,,,,,,,2018-04-11 13:01:04.130,UTC-0300,1.2201279,,,,,,2018-04-11 12:53:39.000,1.4166666,1001,2018-04-11 12:42:15.000,,com.sec.android.app.shealth,,,35.54,,,,
,01774bcc-8700-43cd-920a-48099d48fdff.live_data.json,,1177.98,,,,dgrrqaEJmv,814720,2018-08-20 22:27:05.930,01774bcc-8700-43cd-920a-48099d48fdff,,,,,,,,2018-08-20 22:27:05.930,UTC-0300,1.4458709,,,,,,2018-08-20 22:22:04.000,2.2777777,1001,2018-08-20 22:08:30.000,,com.sec.android.app.shealth,,,53.02,,,,
,0189988f-1532-4ee6-b99a-0a50367f8dba.live_data.json,,1399.99,,,,dgrrqaEJmv,1145332,2018-07-23 21:21:16.436,0189988f-1532-4ee6-b99a-0a50367f8dba,,,,,,,,2018-07-23 21:21:16.436,UTC-0300,1.2223443,,,,,,2018-07-23 21:20:11.000,1.5277778,1001,2018-07-23 21:01:06.000,,com.sec.android.app.shealth,,,63.02,,,,
,022f64a2-c4a5-4ac1-b177-38c1c6e8d9cd.live_data.json,,1010.18,,,,avnWu77KPA,817564,2017-05-06 19:13:34.831,022f64a2-c4a5-4ac1-b177-38c1c6e8d9cd,,,,,,,,2017-05-06 19:10:55.818,UTC-0300,1.2355974,,,,,,2017-05-06 19:06:37.000,1.7222222,1001,2017-05-06 18:53:00.000,,com.sec.android.app.shealth,,,45.24,,,,
,02320618-4b33-4690-81e6-e9bb2fac5f5a.live_data.json,,706.87,,,,avnWu77KPA,670530,2018-04-16 18:03:11.336,02320618-4b33-4690-81e6-e9bb2fac5f5a,,,,,,,,2018-04-16 18:03:11.336,UTC-0300,1.054196,,,,,,2018-04-16 17:55:10.000,1.4166666,1001,2018-04-16 17:44:00.000,,com.sec.android.app.shealth,,,33.41,,,,
