com.samsung.health.step_count,5802009,5
create_time,distance,time_offset,custom,count,end_time,speed,deviceuuid,start_time,pkg_name,update_time,datauuid,calorie,sample_position_type
2018-08-04 20:55:18.895,79.35,UTC-0300,,115,2018-08-04 20:52:00.000,1.3224999,dgrrqaEJmv,2018-08-04 20:51:00.000,com.sec.android.app.shealth,2018-08-04 20:55:18.895,014f3311-a278-4b60-a1c5-91bf00e73eef,3.45,
2018-07-16 17:38:34.287,40.02,UTC-0300,,57,2018-07-16 17:39:00.000,1.1944445,avnWu77KPA,2018-07-16 17:38:00.000,com.sec.android.app.shealth,2018-07-16 17:38:34.287,0157cc51-a808-44b9-9da8-04d6f65dffee,1.69,
2018-07-15 21:09:58.664,84.15999,UTC-0300,,119,2018-07-15 21:10:00.000,1.4026664,avnWu77KPA,2018-07-15 21:09:00.000,com.sec.android.app.shealth,2018-07-15 21:09:59.698,0166ffc8-049b-4361-8aab-2048eddd2d05,3.5699997,
2018-07-30 23:47:46.697,28.09,UTC-0300,,48,2018-07-30 23:39:00.000,1.0833334,dgrrqaEJmv,2018-07-30 23:38:00.000,com.sec.android.app.shealth,2018-07-30 23:47:46.697,016c7659-3528-4e2c-b8c1-0b076c0a06ec,2.26,
2018-07-17 17:23:02.128,51.01,UTC-0300,,77,2018-07-17 17:24:00.000,1.2047102,avnWu77KPA,2018-07-17 17:23:00.000,com.sec.android.app.shealth,2018-07-17 17:23:43.327,01749631-d7b2-4ffb-adeb-35323a6f00c3,2.7299998,
2018-07-15 21:34:57.113,38.08,UTC-0300,,54,2018-07-15 21:16:00.000,1.3055556,avnWu77KPA,2018-07-15 21:15:00.000,com.sec.android.app.shealth,2018-07-15 21:34:57.113,0177dfa5-bffc-40f6-8a52-65ce3ce4f8bc,1.62,
2018-08-02 03:14:56.353,43.05,UTC-0300,,106,2018-08-02 03:06:00.000,1.4444444,dgrrqaEJmv,2018-08-02 03:05:00.000,com.sec.android.app.shealth,2018-08-02 03:14:56.353,01873439-25bc-4280-b2d0-903f6598a2e5,8.66,
2018-07-28 20:54:34.773,23.54,UTC-0300,,33,2018-07-28 20:51:00.000,1.3055556,dgrrqaEJmv,2018-07-28 20:50:00.000,com.sec.android.app.shealth,2018-07-28 20:54:34.773,01a5ee4c-3206-461e-a266-769632665396,0.98,
2018-08-03 18:55:14.826,8.29,UTC-0300,,11,2018-08-03 18:51:00.000,1.8333334,dgrrqaEJmv,2018-08-03 18:50:00.000,com.sec.android.app.shealth,2018-08-03 18:55:14.826,01f84a13-4de5-426f-b51a-fd1c759b256b,0.31,
2018-07-30 21:24:56.545,82.42,UTC-0300,,118,2018-07-30 21:22:00.000,1.3736668,dgrrqaEJmv,2018-07-30 21:21:00.000,com.sec.android.app.shealth,2018-07-30 21:24:56.545,01fa7318-c55a-45dd-b074-cbd9a49cbf84,3.54,
2018-07-22 21:11:20.685,42.2,UTC-0300,,61,2018-07-22 21:10:00.000,1.1944444,dgrrqaEJmv,2018-07-22 21:09:00.000,com.sec.android.app.shealth,2018-07-22 21:11:20.685,0201c71a-3655-45c7-b4d0-eb1211acec07,1.83,
2018-07-05 02:59:14.676,13.0,UTC-0600,,18,2018-07-05 03:00:00.000,1.6751496,avnWu77KPA,2018-07-05 02:59:00.000,com.sec.android.app.shealth,2018-07-05 03:01:04.116,020ac4f7-dc9a-41f0-b4f9-48fbecbdb5f1,0.53,
2018-08-02 23:54:55.286,86.75,UTC-0300,,117,2018-08-02 23:41:00.000,1.6111112,dgrrqaEJmv,2018-08-02 23:40:00.000,com.sec.android.app.shealth,2018-08-02 23:54:55.286,0250c0d7-029e-4745-bdf8-0c34d70f8cba,3.53,
2018-07-20 14:18:53.728,29.050001,UTC-0300,,40,2018-07-20 14:19:00.000,1.4568914,dgrrqaEJmv,2018-07-20 14:18:00.000,com.sec.android.app.shealth,2018-07-20 14:18:58.193,02557dcc-868b-4b31-9c3a-c48f0b92deab,1.1999999,
2018-07-10 22:30:00.392,77.06,UTC-0300,,110,2018-07-10 22:31:00.000,1.2843333,avnWu77KPA,2018-07-10 22:30:00.000,com.sec.android.app.shealth,2018-07-10 22:31:47.660,0256628d-fa7c-4796-a9f2-7f98b99fe26e,3.2999997,
2018-07-05 22:55:00.830,24.2,UTC-0600,,35,2018-07-05 22:44:00.000,1.25,avnWu77KPA,2018-07-05 22:43:00.000,com.sec.android.app.shealth,2018-07-05 22:55:00.830,025c5c15-436d-45a6-848f-c1db43bee5c9,1.05,
2018-08-04 00:28:08.008,87.39,UTC-0300,,121,2018-08-04 00:19:00.000,1.4564999,dgrrqaEJmv,2018-08-04 00:18:00.000,com.sec.android.app.shealth,2018-08-04 00:28:08.008,02643746-437b-4a41-842e-8b4ea193a81f,3.64,
2018-07-09 01:12:18.018,79.36994,UTC-0300,,119,2018-07-09 01:13:00.000,1.3228325,avnWu77KPA,2018-07-09 01:12:00.000,com.sec.android.app.shealth,2018-07-09 01:12:59.533,02649d3a-4fc8-421a-9653-807879d5e6b7,4.2599998,
2018-08-03 19:34:56.097,76.3,UTC-0300,,109,2018-08-03 19:25:00.000,1.2716666,dgrrqaEJmv,2018-08-03 19:24:00.000,com.sec.android.app.shealth,2018-08-03 19:34:56.097,0279f0e6-57e3-452c-a453-0808a444cccd,3.27,
2018-08-04 22:20:36.969,73.35997,UTC-0300,,106,2018-08-04 22:21:00.000,1.2226661,dgrrqaEJmv,2018-08-04 22:20:00.000,com.sec.android.app.shealth,2018-08-04 22:20:59.713,028bd64b-cf27-4801-b32a-b2721393d059,3.1799989,
2018-07-07 18:32:11.713,32.18,UTC-0600,,46,2018-07-07 18:18:00.000,1.25,avnWu77KPA,2018-07-07 18:17:00.000,com.sec.android.app.shealth,2018-07-07 18:32:11.713,02af3337-87e8-49a9-9141-a2dcb6c69e40,1.38,
2018-07-04 20:49:33.150,41.93001,UTC-0600,,59,2018-07-04 20:50:00.000,1.3545318,avnWu77KPA,2018-07-04 20:49:00.000,com.sec.android.app.shealth,2018-07-04 20:49:59.849,02c1b6ee-34d4-4a92-b5a1-40e31d8702a5,1.6799991,
2018-07-19 13:49:58.991,87.09001,UTC-0300,,131,2018-07-19 13:50:00.000,1.4515003,dgrrqaEJmv,2018-07-19 13:49:00.000,com.sec.android.app.shealth,2018-07-19 13:49:59.461,0304b378-c74d-43eb-928a-620cb4343e76,3.9299998,
2018-08-05 22:50:58.210,9.49,UTC-0300,,13,2018-08-05 22:43:00.000,1.4722222,dgrrqaEJmv,2018-08-05 22:42:00.000,com.sec.android.app.shealth,2018-08-05 22:50:58.210,0316823b-4a45-4c37-90f7-3b28dadccf0e,0.38,
2018-07-18 23:29:18.440,86.37,UTC-0300,,117,2018-07-18 23:21:00.000,1.5555556,dgrrqaEJmv,2018-07-18 23:20:00.000,com.sec.android.app.shealth,2018-07-18 23:29:18.440,0318c871-1199-4469-9e0b-1806bde82c02,3.55,
2018-07-16 01:05:31.733,6.68,UTC-0300,,9,2018-07-16 01:04:00.000,1.6388888,avnWu77KPA,2018-07-16 01:03:00.000,com.sec.android.app.shealth,2018-07-16 01:05:31.733,031b16a1-2f19-4300-b108-c2411b16486c,0.26,
2018-07-31 19:24:14.807,87.89,UTC-0300,,119,2018-07-31 19:16:00.000,1.5833334,dgrrqaEJmv,2018-07-31 19:15:00.000,com.sec.android.app.shealth,2018-07-31 19:24:14.807,032820ab-c639-4939-bc4b-1ed8bc461afc,3.6,
2018-08-03 19:54:56.933,11.7,UTC-0300,,17,2018-08-03 19:53:00.000,1.1388888,dgrrqaEJmv,2018-08-03 19:52:00.000,com.sec.android.app.shealth,2018-08-03 19:54:56.933,0328b3f9-9a15-43ca-94a4-d4a1d4373f5c,0.51,
2018-07-19 23:34:57.127,86.46,UTC-0300,,122,2018-07-19 23:19:00.000,1.441,dgrrqaEJmv,2018-07-19 23:18:00.000,com.sec.android.app.shealth,2018-07-19 23:34:57.127,032dd972-13a2-4b52-bc09-313d1b1a901d,3.66,
2018-08-02 22:06:47.293,80.50999,UTC-0300,,115,2018-08-02 22:07:00.000,1.3418331,dgrrqaEJmv,2018-08-02 22:06:00.000,com.sec.android.app.shealth,2018-08-02 22:06:59.933,032fb030-b8db-4e1e-abd9-4e6175738a5e,3.4499998,
2018-08-05 19:20:06.869,0.0,UTC-0300,,0,2018-08-05 19:21:00.000,0.0,dgrrqaEJmv,2018-08-05 19:20:00.000,com.sec.android.app.shealth,2018-08-05 19:20:06.869,0334b711-60aa-4882-8b1e-af5f63ba2d69,0.0,
2018-07-16 00:34:55.083,39.91,UTC-0300,,70,2018-07-16 00:35:00.000,1.1451567,avnWu77KPA,2018-07-16 00:34:00.000,com.sec.android.app.shealth,2018-07-16 00:54:57.362,034a11bd-37f5-49d6-b4d4-da905c8e57ac,2.1,
2018-07-16 17:50:34.680,45.1,UTC-0300,,64,2018-07-16 17:44:00.000,1.2777778,avnWu77KPA,2018-07-16 17:43:00.000,com.sec.android.app.shealth,2018-07-16 17:50:34.680,0372bee6-9b9e-4192-86e7-09cca1e564d7,1.92,
2018-08-03 01:14:57.585,16.18,UTC-0300,,22,2018-08-03 01:14:00.000,1.5277778,dgrrqaEJmv,2018-08-03 01:13:00.000,com.sec.android.app.shealth,2018-08-03 01:14:57.585,037d4dfc-4464-4bd5-9031-b057e4ca1dda,0.64,
2018-07-11 17:32:44.979,43.48,UTC-0300,,62,2018-07-11 17:32:00.000,1.2777778,avnWu77KPA,2018-07-11 17:31:00.000,com.sec.android.app.shealth,2018-07-11 17:32:44.979,03811cfd-c092-46e9-8e92-2590a1c29143,1.86,
2018-07-19 23:34:56.929,77.32,UTC-0300,,110,2018-07-19 23:18:00.000,1.3055556,dgrrqaEJmv,2018-07-19 23:17:00.000,com.sec.android.app.shealth,2018-07-19 23:34:56.929,0381c123-7cbc-4e0b-805f-95671c7d535e,3.3,
2018-08-03 01:14:56.031,87.09,UTC-0300,,120,2018-08-03 00:59:00.000,1.5,dgrrqaEJmv,2018-08-03 00:58:00.000,com.sec.android.app.shealth,2018-08-03 01:14:56.031,03a9d837-1ff5-486b-9302-e95d5b940571,3.6,
2018-07-15 20:32:56.885,4.55,UTC-0300,,6,2018-07-15 20:33:00.000,2.2500002,avnWu77KPA,2018-07-15 20:32:00.000,com.sec.android.app.shealth,2018-07-15 20:32:56.885,03b26de7-70e0-4375-a6ff-5f324f2b13fe,0.17,
2018-07-17 14:09:24.992,65.75,UTC-0300,,94,2018-07-17 14:09:00.000,1.25,avnWu77KPA,2018-07-17 14:08:00.000,com.sec.android.app.shealth,2018-07-17 14:09:24.992,03b67225-fb18-4f1b-9bff-2d6b4cbe2724,2.82,
2018-07-11 14:05:39.981,84.73,UTC-0300,,123,2018-07-11 14:04:00.000,1.4166666,avnWu77KPA,2018-07-11 14:03:00.000,com.sec.android.app.shealth,2018-07-11 14:05:39.981,03d764c3-bd22-4c8c-a837-6b9500ec8212,3.69,
2018-08-03 20:14:57.636,9.69,UTC-0300,,14,2018-08-03 19:57:00.000,1.1666666,dgrrqaEJmv,2018-08-03 19:56:00.000,com.sec.android.app.shealth,2018-08-03 20:14:57.636,03dad134-b596-48b9-84ee-d62b24b98939,0.42,
2018-07-09 14:30:38.623,81.07,UTC-0300,,113,2018-07-09 14:30:00.000,1.4166666,avnWu77KPA,2018-07-09 14:29:00.000,com.sec.android.app.shealth,2018-07-09 14:30:38.623,03e2e64d-a332-4efb-8406-9b6d4b376ef0,3.39,
2018-07-30 23:35:05.616,77.7,UTC-0300,,111,2018-07-30 23:30:00.000,1.2949998,dgrrqaEJmv,2018-07-30 23:29:00.000,com.sec.android.app.shealth,2018-07-30 23:35:05.616,03f67f37-6ddb-4cd2-8d88-7b31efb9aa70,3.33,
2018-07-05 23:14:55.889,66.56,UTC-0600,,95,2018-07-05 23:05:00.000,1.25,avnWu77KPA,2018-07-05 23:04:00.000,com.sec.android.app.shealth,2018-07-05 23:14:55.889,04112eff-41c5-4647-a66f-53bb57518412,2.85,
2018-08-07 19:09:56.617,78.48,UTC-0400,,115,2018-08-07 19:04:00.000,1.4166666,dgrrqaEJmv,2018-08-07 19:03:00.000,com.sec.android.app.shealth,2018-08-07 19:09:56.617,04114a49-564c-4968-ae98-8df6a6a7c85a,3.9,
