com.samsung.health.step_count,6000085,5
create_time,distance,time_offset,custom,count,end_time,speed,deviceuuid,start_time,pkg_name,update_time,datauuid,calorie,sample_position_type
2018-08-19 23:35:00.978,79.76,UTC-0300,,113,2018-08-19 23:31:00.000,1.3293333,dgrrqaEJmv,2018-08-19 23:30:00.000,com.sec.android.app.shealth,2018-08-19 23:35:00.978,000b3a48-49dc-43d8-a90d-f71a6289010a,3.39,
2018-07-13 17:03:05.888,15.28,UTC-0300,,22,2018-07-13 17:03:00.000,1.25,avnWu77KPA,2018-07-13 17:02:00.000,com.sec.android.app.shealth,2018-07-13 17:03:05.888,000d8ecb-fab9-4963-a12b-930bea467c55,0.66,
2018-08-18 19:20:13.309,82.72,UTC-0300,,117,2018-08-18 19:19:00.000,1.3786668,dgrrqaEJmv,2018-08-18 19:18:00.000,com.sec.android.app.shealth,2018-08-18 19:20:13.309,00129b8b-b190-4089-947b-924a3da1b286,3.51,
2018-07-05 02:48:44.543,52.51,UTC-0600,,82,2018-07-05 02:49:00.000,1.299048,avnWu77KPA,2018-07-05 02:48:00.000,com.sec.android.app.shealth,2018-07-05 02:49:01.653,0013bc1b-fa93-4690-9c9f-8d991e4a77c8,2.99,
2018-08-03 21:48:12.271,28.64,UTC-0300,,37,2018-08-03 21:48:00.000,2.4166667,dgrrqaEJmv,2018-08-03 21:47:00.000,com.sec.android.app.shealth,2018-08-03 21:48:12.271,00164255-9112-4654-846b-b3eea2318ed1,1.05,
2018-07-05 05:46:43.811,18.94,UTC-0600,,17,2018-07-05 05:47:00.000,2.4231236,avnWu77KPA,2018-07-05 05:46:00.000,com.sec.android.app.shealth,2018-07-05 05:46:48.002,002a0222-541f-4c33-9965-6e106ac9cfcb,1.0999999,
2018-08-10 00:54:50.538,15.48,UTC-0400,,22,2018-08-10 00:51:00.000,1.2777778,dgrrqaEJmv,2018-08-10 00:50:00.000,com.sec.android.app.shealth,2018-08-10 00:54:50.538,002a8954-387f-48ac-ae99-cf6f7b32cec0,0.66,
2018-08-17 21:56:24.999,56.59,UTC-0500,,80,2018-08-17 21:47:00.000,1.3055556,dgrrqaEJmv,2018-08-17 21:46:00.000,com.sec.android.app.shealth,2018-08-17 21:56:24.999,0047ab61-3699-40de-8757-a8857f7f3bdf,2.39,
2018-07-23 17:05:09.362,23.07,UTC-0300,,33,2018-07-23 17:03:00.000,1.3055556,dgrrqaEJmv,2018-07-23 17:02:00.000,com.sec.android.app.shealth,2018-07-23 17:05:09.362,0049de3f-dc43-478f-a415-332ec757cc77,0.99,
2018-08-06 16:22:30.999,17.0,UTC-0300,,24,2018-08-06 16:23:00.000,1.25,dgrrqaEJmv,2018-08-06 16:22:00.000,com.sec.android.app.shealth,2018-08-06 16:22:30.999,00518a5a-b607-462f-a852-aef46b9727a2,0.71,
2018-09-03 21:54:21.519,81.98,UTC-0300,,115,2018-09-03 21:44:00.000,1.3663334,dgrrqaEJmv,2018-09-03 21:43:00.000,com.sec.android.app.shealth,2018-09-03 21:54:21.519,00561be1-9556-4cca-8595-77c29233b7a9,3.47,
