com.samsung.shealth.activity.day_summary,6000085,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,-1,49980000,2017-07-15 04:00:00.809,8690.805,67822,12177,6822073,1500076800000,avnWu77KPA,6889895,0,com.sec.android.app.shealth,2017-07-16 03:03:05.016,1366260,0904d797-e0dd-49f1-820a-eb1ab6660f99,0904d797-e0dd-49f1-820a-eb1ab6660f99.extra_data.json,371.51108
0,-1,34680000,2017-04-26 04:01:37.760,6745.576,44484,9522,5329321,1493164800000,avnWu77KPA,5373805,0,com.sec.android.app.shealth,2017-04-26 23:50:48.605,1912782,095150f1-3d34-4194-8ec2-746c37ce92eb,095150f1-3d34-4194-8ec2-746c37ce92eb.extra_data.json,290.35364
0,-1,46500000,2018-05-25 04:01:23.011,6123.145,2508,8755,5027281,1527206400000,avnWu77KPA,5029789,0,com.sec.android.app.shealth,2018-05-26 03:54:28.275,1109456,097a2e05-5f64-4207-ac61-7655460d1b1a,097a2e05-5f64-4207-ac61-7655460d1b1a.extra_data.json,276.04465
0,-1,22440000,2018-01-04 16:00:02.111,5326.5483,10197,7465,4291357,1515110400000,avnWu77KPA,4301554,0,com.sec.android.app.shealth,2018-01-05 22:00:01.976,360000,09874614-476b-411e-8a30-88a98fe33ac3,09874614-476b-411e-8a30-88a98fe33ac3.extra_data.json,229.84995
0,-1,55080000,2017-09-30 04:00:49.051,3646.887,4800,5194,2998240,1506729600000,avnWu77KPA,3003040,0,com.sec.android.app.shealth,2017-10-27 05:16:15.727,1273954,0a067bc9-e072-4871-a56d-b89b940279a1,0a067bc9-e072-4871-a56d-b89b940279a1.extra_data.json,161.23433
0,-1,34140000,2018-04-23 04:19:48.065,47.6,0,67,44689,1524441600000,avnWu77KPA,44689,0,com.sec.android.app.shealth,2018-04-23 18:50:01.553,20677,0a71feed-43af-4b37-bde6-4cdc22d95633,0a71feed-43af-4b37-bde6-4cdc22d95633.extra_data.json,2.01
0,-1,33180000,2018-05-29 04:00:24.398,11994.726,6440,15665,7974387,1527552000000,avnWu77KPA,7980827,0,com.sec.android.app.shealth,2018-05-30 03:33:07.579,1866059,0a7deaa6-754d-4743-9712-98fe9cc26aac,0a7deaa6-754d-4743-9712-98fe9cc26aac.extra_data.json,557.9661
0,-1,40080000,2017-10-22 04:02:25.293,5464.3447,800,7757,4473092,1508630400000,avnWu77KPA,4473892,0,com.sec.android.app.shealth,2017-10-27 05:16:19.120,1180410,0c2eea52-4a2c-4c8f-afad-db58c5cd9be2,0c2eea52-4a2c-4c8f-afad-db58c5cd9be2.extra_data.json,236.61748
0,-1,-1,2017-04-13 12:53:40.394,0.0,0,0,0,1489968000000,avnWu77KPA,0,0,com.sec.android.app.shealth,2017-04-13 12:53:40.394,0,0c305742-594d-4fa2-8692-889c2b4cc82b,0c305742-594d-4fa2-8692-889c2b4cc82b.extra_data.json,0.0
0,-1,31500000,2017-12-04 05:00:01.621,5173.796,6000,7299,4257881,1512345600000,avnWu77KPA,4263881,0,com.sec.android.app.shealth,2017-12-05 01:20:28.904,714767,0d3db01e-9a05-49d3-b6bc-7eeaa6330bfe,0d3db01e-9a05-49d3-b6bc-7eeaa6330bfe.extra_data.json,224.404
