com.samsung.health.oxygen_saturation,5802009,7
create_time,time_offset,custom,end_time,heart_rate,deviceuuid,start_time,pkg_name,update_time,datauuid,spo2,comment
2018-06-10 20:51:33.378,UTC-0300,,2018-06-10 20:51:18.533,80.0,avnWu77KPA,2018-06-10 20:51:18.533,com.sec.android.app.shealth,2018-06-10 20:51:33.378,0247530a-1a86-4a18-ba04-b141e9cf3979,92.0,
2018-05-25 23:10:57.332,UTC-0300,,2018-05-25 23:10:53.044,69.0,avnWu77KPA,2018-05-25 23:10:53.044,com.sec.android.app.shealth,2018-05-25 23:10:57.332,035523f8-8406-4de6-87e9-2ebd59a36992,100.0,
2018-06-03 01:31:24.531,UTC-0300,,2018-06-03 01:31:09.015,77.0,avnWu77KPA,2018-06-03 01:31:09.015,com.sec.android.app.shealth,2018-06-03 01:31:24.531,041a16b0-7236-4aae-9bc8-d10feb4d35f3,93.0,
2018-07-26 02:42:40.778,UTC-0300,,2018-07-26 02:42:29.814,74.0,dgrrqaEJmv,2018-07-26 02:42:29.814,com.sec.android.app.shealth,2018-07-26 02:42:40.778,04c06b14-bae3-4337-9b67-91cf400168f8,95.0,
2018-06-11 18:07:16.733,UTC-0300,,2018-06-11 18:07:13.600,68.0,avnWu77KPA,2018-06-11 18:07:13.600,com.sec.android.app.shealth,2018-06-11 18:07:16.733,04ea9936-d11d-41c9-9103-d69876300d67,94.0,
2018-07-03 00:38:14.985,UTC-0600,,2018-07-03 00:38:11.372,75.0,avnWu77KPA,2018-07-03 00:38:11.372,com.sec.android.app.shealth,2018-07-03 00:38:14.985,053e24d5-94a9-4c03-b885-4b8b5bb1b97a,94.0,
2018-08-07 02:26:21.184,UTC-0400,,2018-08-07 02:26:14.216,62.0,dgrrqaEJmv,2018-08-07 02:26:14.216,com.sec.android.app.shealth,2018-08-07 02:26:21.184,059de3c7-2a6f-4d1a-bbec-b88af9a6d220,89.0,
2018-07-24 01:40:52.721,UTC-0300,,2018-07-24 01:40:38.365,73.0,dgrrqaEJmv,2018-07-24 01:40:38.365,com.sec.android.app.shealth,2018-07-24 01:40:52.721,062064dc-980e-4216-86ff-563da9e68a0c,95.0,
2018-06-09 18:39:43.892,UTC-0300,,2018-06-09 18:39:35.362,60.0,avnWu77KPA,2018-06-09 18:39:35.362,com.sec.android.app.shealth,2018-06-09 18:39:43.892,069d8862-06c4-4363-9f79-ba27cc417f86,90.0,
2018-06-05 22:01:07.950,UTC-0300,,2018-06-05 22:00:57.115,66.0,avnWu77KPA,2018-06-05 22:00:57.115,com.sec.android.app.shealth,2018-06-05 22:01:07.950,0a1bdcf3-e433-4b51-9a14-2e149c933cc8,93.0,
