com.samsung.health.water_intake,6000085,4
start_time,pkg_name,amount,update_time,create_time,time_offset,datauuid,custom,comment,unit_amount,deviceuuid
2017-05-07 16:01:20.329,com.sec.android.app.shealth,250.0,2017-05-07 16:01:20.333,2017-05-07 16:01:20.333,UTC-0300,0252b6e1-7691-4c3b-b4f3-ee64dd52bced,,,250.0,avnWu77KPA
2017-04-17 15:26:21.326,com.sec.android.app.shealth,250.0,2017-04-17 15:26:21.342,2017-04-17 15:26:21.342,UTC-0300,02bece4a-22d3-424f-87f2-1f2a5eadb33e,,,250.0,avnWu77KPA
2017-04-10 19:07:40.093,com.sec.android.app.shealth,250.0,2017-04-10 19:07:40.102,2017-04-10 19:07:40.102,UTC-0300,035adc52-9387-45db-ae79-19fcdb4fa630,,,250.0,avnWu77KPA
2017-05-16 23:48:55.777,com.sec.android.app.shealth,250.0,2017-05-16 23:48:55.786,2017-05-16 23:48:55.786,UTC-0400,051ff4ad-2dee-478d-ad1c-8a17efba8914,,,250.0,avnWu77KPA
2017-04-18 13:12:43.587,com.sec.android.app.shealth,250.0,2017-04-18 13:12:43.595,2017-04-18 13:12:43.595,UTC-0300,06779a13-aa0a-445f-aaad-4f6bd3d91c2f,,,250.0,avnWu77KPA
2017-05-18 20:46:14.896,com.sec.android.app.shealth,250.0,2017-05-18 20:46:14.902,2017-05-18 20:46:14.902,UTC-0300,075241a1-c770-44d9-ad32-badd5a11e20e,,,250.0,avnWu77KPA
2017-05-04 01:18:13.411,com.sec.android.app.shealth,250.0,2017-05-04 01:18:13.417,2017-05-04 01:18:13.417,UTC-0300,079dd695-1a10-44e9-9b56-44fe09e25541,,,250.0,avnWu77KPA
2017-04-22 21:06:46.225,com.sec.android.app.shealth,250.0,2017-04-22 21:06:46.236,2017-04-22 21:06:46.236,UTC-0300,07a34bc1-63bf-40f9-b721-6bbf22fe9b3f,,,250.0,avnWu77KPA
2017-04-29 19:51:42.088,com.sec.android.app.shealth,250.0,2017-04-29 19:51:42.094,2017-04-29 19:51:42.094,UTC-0300,094c9c1d-508f-4a83-a4b7-f12eae7ad7cd,,,250.0,avnWu77KPA
2017-04-19 13:43:01.360,com.sec.android.app.shealth,250.0,2017-04-19 13:43:01.374,2017-04-19 13:43:01.374,UTC-0300,0c44332f-46ce-475f-b2dd-b6beb44d7a63,,,250.0,avnWu77KPA
2017-05-13 21:06:18.214,com.sec.android.app.shealth,250.0,2017-05-13 21:06:23.384,2017-05-13 21:06:23.384,UTC-0400,0c9a6a0f-edb2-44fb-8c98-8189171abb69,,,250.0,avnWu77KPA
