create_time	heart_rate
1528918622.839	62.0
1529462588.52	79.0
1527033833.596	62.0
1533933055.494	83.0
1528150704.66	70.0
1527982782.126	79.0
1526806875.477	64.0
1533708752.995	74.0
1533807122.284	66.0
1528347804.064	74.0
1533880805.339	74.0
1533148478.244	69.0
1527104001.421	74.0
1534378772.506	81.0
1530592970.335	93.0
1529462614.041	67.0
1534333503.834	78.0
1534552008.309	76.0
1532410852.708	73.0
1527724687.677	77.0
1528097954.174	74.0
1531637529.753	64.0
1535577632.446	84.0
1535526008.779	95.0
1528016307.591	70.0
1535443587.196	96.0
1528678293.356	80.0
1534715978.334	79.0
1531627045.351	71.0
1533595629.93	80.0
1535757662.275	78.0
1534740634.116	80.0
1535614101.352	93.0
1535928550.24	75.0
1532767622.177	73.0
1536036763.954	97.0
1532902157.622	69.0
1535932703.068	81.0
1534794264.454	80.0
1528773562.226	66.0
1528070748.44	77.0
1527995467.077	76.0
1527652224.54	81.0
1535944410.711	79.0
1528007215.302	81.0
1536607710.226	64.0
1534736979.985	85.0
1536599809.655	85.0
1537049759.422	74.0
1530273225.927	77.0
1535095662.152	72.0
1533636906.566	76.0
1533541869.686	74.0
1535073450.445	71.0
1536911460.205	58.0
1528000632.934	81.0
1531375856.665	77.0
1527724514.712	68.0
1536044311.037	76.0
1527652303.603	78.0
1526776688.481	67.0
1530166551.53	92.0
1528189313.493	72.0
1527626702.614	71.0
1535010964.855	79.0
1533713825.409	78.0
1535538483.322	100.0
1528584039.021	77.0
1526933056.639	71.0
1527049100.358	84.0
1533013276.324	81.0
1533504975.341	73.0
1528174115.873	83.0
1528259821.714	87.0
1533689190.345	74.0
1529576321.987	73.0
1530603494.971	75.0
1535880354.142	80.0
1529731471.414	78.0
1528584013.628	74.0
1527024844.597	71.0
1528321103.927	75.0
1527666713.338	75.0
1536808067.108	68.0
1528781090.749	67.0
1535346973.271	113.0
1535749913.348	71.0
1534124895.208	84.0
1534970712.313	87.0
1537391992.91	92.0
1535940407.108	94.0
1534033605.75	75.0
1534286138.955	77.0
1527107812.624	77.0
1527666670.474	73.0
1536367919.856	71.0
1537307036.887	70.0
1537311087.341	66.0
1536528889.05	63.0
1535708034.53	83.0
1534498617.744	93.0
1532991646.139	76.0
1529573772.795	83.0
1536736207.439	70.0
1528769381.509	70.0
1536653466.022	69.0
1534503062.348	87.0
1536481615.482	68.0
1535936507.752	77.0
1530087655.769	82.0
1529978740.666	73.0
1528256292.035	71.0
1536635352.377	77.0
1527191206.007	74.0
1528016222.484	73.0
1526676567.304	74.0
1533251856.443	74.0
1528250427.461	76.0
1529991995.16	66.0
1533800789.902	67.0
1536624973.064	91.0
1536536196.653	65.0
1533257927.867	87.0
1533626805.292	77.0
1536047970.819	76.0
1535666486.003	90.0
1535529675.73	87.0
1528260049.751	74.0
1537509455.117	67.0
1528765719.984	81.0
1527113589.772	82.0
1528250556.095	77.0
1536135825.43	75.0
1534809685.784	71.0
1528940686.268	71.0
1528229623.05	86.0
1533497619.955	75.0
1528146841.711	67.0
1528075802.811	74.0
1527028649.398	65.0
1534121220.427	90.0
1534129494.969	79.0
1534029963.685	88.0
1532475934.945	74.0
1533072700.02	65.0
1528567914.684	73.0
1529583977.36	79.0
1529549488.645	72.0
1534847916.595	64.0
1527061539.392	69.0
1535065536.057	79.0
1534471994.829	75.0
1537594165.863	64.0
1535842709.952	70.0
1528944276.573	66.0
1537413086.082	95.0
1528090785.911	101.0
1528007271.229	77.0
1532592650.884	71.0
1527213447.896	78.0
1526691833.1	71.0
1530671992.228	69.0
1531201076.669	78.0
1531295753.767	88.0
1537665948.618	77.0
1529715087.184	83.0
1530158937.688	77.0
1528250467.937	66.0
1531379638.663	74.0
1536474064.302	72.0
1537595418.181	63.0
1534817054.529	98.0
1529553062.695	80.0
1527195492.081	71.0
1537671247.096	74.0
1535765761.775	81.0
1533415229.091	69.0
1528229450.833	83.0
1530252629.152	70.0
1526888780.883	67.0
1533972051.008	77.0
1528754802.867	73.0
1537127288.739	80.0
1527982752.047	81.0
1536217095.078	82.0
1527714006.27	75.0
1532384212.042	87.0
1528142883.427	74.0
1528153931.14	77.0
1532390603.901	74.0
1534894850.176	98.0
1532472316.004	71.0
1533949637.23	72.0
1535865983.29	87.0
1535694984.364	75.0
1534559668.591	80.0
1530245249.432	81.0
1527645000.052	82.0
1528918513.709	65.0
1527210486.047	70.0
1533772951.261	83.0
1529727775.102	71.0
1532414500.673	84.0
1533895381.961	53.0
1528090812.817	105.0
1533165010.862	88.0
1527756977.024	77.0
1537250337.583	88.0
1533501319.839	74.0
1533769139.802	85.0
1533370196.341	73.0
1537320689.14	83.0
1533465723.795	67.0
1528583983.879	60.0
1536201677.251	76.0
1534290257.763	75.0
1532915709.008	82.0
1533361917.498	83.0
1535797760.363	75.0
1534666131.395	85.0
1532928591.506	74.0
1527113565.694	73.0
1530083805.785	80.0
1528754889.58	64.0
1537477313.854	105.0
1529754476.761	68.0
1531974167.522	83.0
1534041748.663	78.0
1527645162.98	83.0
1535677650.129	82.0
1530062038.585	85.0
1535661195.308	93.0
1528573187.867	76.0
1537518864.773	64.0
1526971826.134	73.0
1535444034.873	104.0
1533725809.541	78.0
1535962604.046	80.0
1528528142.57	75.0
1529034495.577	63.0
1533021302.854	78.0
1536777860.285	68.0
1533527715.302	84.0
1535014931.421	77.0
1527710947.019	67.0
1535494754.242	108.0
1537233458.018	84.0
1528007292.031	79.0
1532387989.058	80.0
1527710853.98	60.0
1528250515.435	86.0
1529629764.547	87.0
1533797054.669	69.0
1533872990.338	69.0
1534813365.438	73.0
1528843209.965	85.0
1533418994.945	70.0
1534306101.391	85.0
1535521550.504	81.0
1536213440.914	89.0
1533722469.82	67.0
1536005737.227	89.0
1535673708.842	75.0
1534588479.427	82.0
1527626821.174	76.0
1537431078.32	61.0
1537580866.986	76.0
1527021329.518	71.0
1536485262.591	68.0
1533680190.711	69.0
1535415859.506	95.0
1536132121.526	85.0
1536631328.568	92.0
1528191031.075	75.0
1535698858.923	83.0
1536089674.866	83.0
1533701811.076	68.0
1527021396.551	63.0
1536621299.916	73.0
1533626754.981	85.0
