com.samsung.shealth.stress,6000085,7
create_time,time_offset,max,custom,end_time,deviceuuid,start_time,score,pkg_name,update_time,min,binning_data,datauuid,tag_id,comment,algorithm
2018-07-02 20:42:17.239,UTC-0600,,0a09f7c7-0001-4ebd-b864-245e9ed2b417.custom.json,,avnWu77KPA,2018-07-02 20:42:15.659,56.0,com.sec.android.app.shealth,2018-07-02 20:42:17.239,,,0a09f7c7-0001-4ebd-b864-245e9ed2b417,10002,,
2018-05-23 03:45:39.379,UTC-0300,,0a47d07c-4b81-4e3d-bf7b-dd60a5ebefaf.custom.json,,avnWu77KPA,2018-05-23 03:45:36.756,43.0,com.sec.android.app.shealth,2018-05-23 03:45:39.379,,,0a47d07c-4b81-4e3d-bf7b-dd60a5ebefaf,10002,,
2018-06-05 23:37:13.187,UTC-0300,,0a83fb9d-8556-4045-bb27-cc97a5effb02.custom.json,,avnWu77KPA,2018-06-05 23:37:09.913,56.0,com.sec.android.app.shealth,2018-06-05 23:37:13.187,,,0a83fb9d-8556-4045-bb27-cc97a5effb02,10009,,
2018-08-17 03:36:57.739,UTC-0500,,0bdff986-df74-4d9f-b93c-883725b7d8f5.custom.json,,dgrrqaEJmv,2018-08-17 03:36:54.526,68.0,com.sec.android.app.shealth,2018-08-17 03:36:57.739,,,0bdff986-df74-4d9f-b93c-883725b7d8f5,10002,,
2018-07-28 04:47:02.167,UTC-0300,,0c663349-935d-44d8-9513-182bf73a19a7.custom.json,,dgrrqaEJmv,2018-07-28 04:46:59.931,75.0,com.sec.android.app.shealth,2018-07-28 04:47:02.167,,,0c663349-935d-44d8-9513-182bf73a19a7,10002,,
2018-05-22 02:50:26.128,UTC-0300,,0c70af30-8062-42d5-9ead-add3c3cca254.custom.json,,avnWu77KPA,2018-05-22 02:50:22.811,56.0,com.sec.android.app.shealth,2018-05-22 02:50:26.128,,,0c70af30-8062-42d5-9ead-add3c3cca254,10002,,
2018-07-24 02:41:40.668,UTC-0300,,0cb6bbf7-797a-4830-a195-dd478098fc9b.custom.json,,dgrrqaEJmv,2018-07-24 02:41:31.477,56.0,com.sec.android.app.shealth,2018-07-24 02:41:40.668,,,0cb6bbf7-797a-4830-a195-dd478098fc9b,10002,,
2018-09-05 23:56:36.760,UTC-0300,,0d03417f-d978-4882-a420-1cd8e59a213a.custom.json,,dgrrqaEJmv,2018-09-05 23:56:34.585,18.0,com.sec.android.app.shealth,2018-09-05 23:56:36.760,,,0d03417f-d978-4882-a420-1cd8e59a213a,10002,,
2018-08-31 18:13:00.362,UTC-0300,,0e93aa71-6276-417a-a430-cc8faba0f28e.custom.json,,dgrrqaEJmv,2018-08-31 18:12:57.722,23.0,com.sec.android.app.shealth,2018-08-31 18:13:00.362,,,0e93aa71-6276-417a-a430-cc8faba0f28e,10002,,
2018-06-26 18:13:58.561,UTC-0600,,0edf4672-423c-4658-b0dc-ebdcda7adbb0.custom.json,,avnWu77KPA,2018-06-26 18:13:55.668,62.0,com.sec.android.app.shealth,2018-06-26 18:13:58.561,,,0edf4672-423c-4658-b0dc-ebdcda7adbb0,10002,,
