com.samsung.shealth.step_daily_trend,6000085,5
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2018-08-07 20:19:09.883,5299.1396,7636,0,1505779200000,2.5,dgrrqaEJmv,com.sec.android.app.shealth,2018-08-07 20:19:09.883,00360079-4c97-4331-aa9d-5f676fcabb66.binning_data.json,00360079-4c97-4331-aa9d-5f676fcabb66,234.99997,com.sec.android.app.shealth
2018-08-07 20:19:10.025,8743.25,12501,-2,1509840000000,1.3546685,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.025,006ea727-7fa9-4c73-8e78-1723b603599a.binning_data.json,006ea727-7fa9-4c73-8e78-1723b603599a,385.69,com.sec.android.app.shealth
2018-08-07 20:19:09.905,8453.9795,11918,0,1510704000000,3.1282616,dgrrqaEJmv,com.sec.android.app.shealth,2018-08-07 20:19:09.905,00876329-4f99-42f8-83f7-8c2a2544fd02.binning_data.json,00876329-4f99-42f8-83f7-8c2a2544fd02,371.91998,com.sec.android.app.shealth
2018-08-07 20:19:10.081,11783.89,16726,-2,1525824000000,1.3676188,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.081,00f2917e-1e28-4264-a52a-fb6b7869ebb3.binning_data.json,00f2917e-1e28-4264-a52a-fb6b7869ebb3,513.66,com.sec.android.app.shealth
2018-08-07 20:19:09.953,2622.48,3609,0,1526428800000,5.1111116,dgrrqaEJmv,com.sec.android.app.shealth,2018-08-07 20:19:09.953,0125d122-8dac-4b70-a53c-85b818e4c1d0.binning_data.json,0125d122-8dac-4b70-a53c-85b818e4c1d0,115.27,com.sec.android.app.shealth
2018-08-07 20:19:09.898,8597.56,12347,0,1508889600000,3.1388888,dgrrqaEJmv,com.sec.android.app.shealth,2018-08-07 20:19:09.898,017df470-5eef-4a26-b3fd-8e4674d97998.binning_data.json,017df470-5eef-4a26-b3fd-8e4674d97998,381.59998,com.sec.android.app.shealth
2018-08-07 20:19:09.918,9557.41,14220,0,1514505600000,4.3611107,dgrrqaEJmv,com.sec.android.app.shealth,2018-08-07 20:19:09.918,01c6094c-013d-4f00-973d-0cade0f2a85d.binning_data.json,01c6094c-013d-4f00-973d-0cade0f2a85d,459.12,com.sec.android.app.shealth
2018-08-07 20:19:10.089,3217.55,4652,-2,1528675200000,1.3963317,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.089,01eb5ac0-4d13-4d16-8773-1e411c71c16c.binning_data.json,01eb5ac0-4d13-4d16-8773-1e411c71c16c,147.16998,com.sec.android.app.shealth
2018-08-07 20:19:10.066,3819.46,5426,-2,1520467200000,1.4335905,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.066,0256c229-5b83-431a-93fb-91be3e90054f.binning_data.json,0256c229-5b83-431a-93fb-91be3e90054f,171.18999,com.sec.android.app.shealth
2018-08-07 20:19:10.030,6684.48,9508,-2,1511308800000,1.3867837,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.030,02910393-490a-495a-9032-6fa80ef40129.binning_data.json,02910393-490a-495a-9032-6fa80ef40129,295.81998,com.sec.android.app.shealth
2018-09-06 04:00:41.247,7929.1597,11442,0,1536105600000,1.8611113,dgrrqaEJmv,com.sec.android.app.shealth,2018-09-06 04:00:41.247,02bd31a3-2f69-48fe-a55e-5a585f432660.binning_data.json,02bd31a3-2f69-48fe-a55e-5a585f432660,348.96997,com.sec.android.app.shealth
2018-08-07 20:19:10.003,2051.44,2897,-2,1502582400000,1.3814251,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.003,031d6f49-13dc-49eb-94a7-37ee5280eabd.binning_data.json,031d6f49-13dc-49eb-94a7-37ee5280eabd,89.36,com.sec.android.app.shealth
2018-08-07 20:19:10.086,9523.83,13650,-2,1527465600000,1.3012047,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.086,03235d91-d3ae-4c73-abf7-12d564df0e33.binning_data.json,03235d91-d3ae-4c73-abf7-12d564df0e33,418.32,com.sec.android.app.shealth
2018-08-07 20:19:10.017,9423.649,13398,-2,1507075200000,1.3901424,VfS0qUERdZ,com.sec.android.app.shealth,2018-08-07 20:19:10.017,03bf136f-0eb7-47a9-bf50-8f5b72f5b0ec.binning_data.json,03bf136f-0eb7-47a9-bf50-8f5b72f5b0ec,410.20996,com.sec.android.app.shealth
