create_time	distance	time_offset	count	speed	calorie
1533538236.145	30.500008	UTC-0300	43	1.3732169	1.2699995
1531799709.959	79.17	UTC-0300	112	1.3333334	3.36
1531970220.566	67.190025	UTC-0300	102	1.2303691	3.4099972
1534235699.377	81.79	UTC-0500	111	1.5833334	3.34
1534582081.092	61.469975	UTC-0500	89	1.1854435	2.6699982
1532152159.465	82.68	UTC-0300	115	1.4166666	3.46
1532061900.33	69.25	UTC-0300	99	1.2222222	2.97
1533355677.973	73.84	UTC-0300	104	1.3611112	3.12
1532216125.488	74.47	UTC-0300	107	1.2411667	3.21
1532306099.975	75.44	UTC-0300	108	1.2573333	3.24
1531720498.6	70.8	UTC-0300	102	1.1944444	3.06
1531761297.575	36.21	UTC-0300	49	1.2222222	1.6
1534495173.105	39.91	UTC-0500	47	1.5	2.06
1534731318.953	77.24	UTC-0300	113	1.2873333	3.39
1532394927.13	71.84999	UTC-0300	109	1.2496296	3.5699997
1531364508.799	31.35	UTC-0300	50	1.3055556	2.29
1532380994.633	82.21	UTC-0300	124	1.3701667	4.2
1534985633.963	16.72	UTC-0300	21	1.7777779	0.83
1535062532.543	79.71	UTC-0300	113	1.3285	3.39
1532382603.29	33.5	UTC-0300	48	1.25	1.44
1531791101.667	83.81	UTC-0300	117	1.3968332	3.77
1531540260.178	51.280014	UTC-0300	75	1.1325507	2.2499986
1533349443.86	70.4	UTC-0300	97	1.4706303	2.9199996
1534818601.961	51.10997	UTC-0300	76	1.3694866	2.7699988
1531289699.395	78.72	UTC-0300	111	1.3333334	3.33
1533456926.612	77.09	UTC-0300	110	1.2848332	3.3
1534991814.077	9.639999	UTC-0300	14	1.0565453	0.42000002
1534390535.738	56.22	UTC-0500	85	1.0833334	2.67
1534390870.362	42.659996	UTC-0500	69	1.2390583	2.41
1532040720.447	71.080025	UTC-0300	102	1.2367343	3.0599985
1533178755.513	41.489998	UTC-0300	59	1.2802935	1.7699993
1533874560.271	30.39	UTC-0400	43	1.2495208	1.2799999
1533186933.788	70.33	UTC-0300	102	1.1721666	3.06
1531020253.417	59.909996	UTC-0600	84	1.2139521	2.69
1534889696.143	15.58	UTC-0300	22	1.3333334	0.66
1534322371.326	61.36	UTC-0500	81	1.6666666	2.56
1533161698.751	52.92	UTC-0300	77	1.2777778	2.46
