	time	mood	social	alone	morale	stress	fatigue	compulsions	leisure_activity	trying_to_leave_apt_activity	feedly_activity	schoolworrk_activity	with_parents_activity	working_activity	eating_activity	just_woke_up_activity	workshop_activity	studying_activity	with_friends_activity	tv_activity	school_work_activity	errands_activity	resting_activity	washing_up_activity	ash_stuff_activity	commuting_activity	getting_ready_activity	chatting_activity	with_k_activity	working_out_activity	reading_activity	shopping_activity	work_activity	in_class_activity	schoolwork_activity	therapy_activity	cooking_activity	with_kevin_activity	email_activity	parents_home_location	home_location	vacation_location	therapy_location	mountain_view_location	library_location	airport_location	school_location	kevin_home_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	blinks	max_attention	max_engagement	max_valence	min_attention	min_engagement	min_valence	productivity_score
153	2018-06-07 18:10:57.792308-04:00	3.0	0	True	2.0	0.0	3.5	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.741284	0.0	0.0	0.0	0.0	1	98.786865234375	73.04557800292969	0.0	89.38430786132812	0.08000421524047852	-65.84745788574219	60.24
154	2018-06-09 00:10:08.384103-04:00	3.0	0	True	3.0	0.0	3.0	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.652826	0.0	0.0	0.0	0.0	0	98.78446960449219	99.05844116210938	0.0	93.8512191772461	0.0	-18.88134002685547	65.46
155	2018-06-09 11:37:53.727351-04:00	1.5	1	True	3.0	2.0	4.5	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.767427	0.0	0.0	0.808202	0.0	0.0	12	98.78418731689453	99.45272827148438	0.0	80.65769958496094	0.08109389245510101	-84.92827606201172	65.58
156	2018-06-09 14:38:55.257152-04:00	2.0	2	True	2.5	1.0	4.0	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.512257	0.0	0.539578	0.0	0.0	0.0	0.0	2	98.78606414794922	98.39012145996094	44.960872650146484	77.93791961669922	0.0793239176273346	-42.98926544189453	68.84
157	2018-06-11 14:05:20.658672-04:00	3.0	1	True	4.0	0.0	0.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.521059	0.0	0.610631	0.0	0.823467	0.0	0.0	0	98.78706359863281	99.87294006347656	1.1485779285430908	95.79065704345703	0.08002544939517975	-68.1600341796875	88.65
158	2018-06-11 15:05:45.973291-04:00	3.0	1	True	4.0	0.0	0.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.638435	0.0	0.62172	0.0	0.636548	0.0	0.0	0	98.78125762939453	99.89187622070312	18.377038955688477	92.24113464355469	0.07979737222194672	-66.63093566894531	94.89
159	2018-06-11 16:07:11.482610-04:00	3.0	2	True	4.0	0.0	0.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.507313	0.0	0.742727	0.0	0.0	0	98.78582000732422	99.01152038574219	0.0	95.69384765625	0.07927249372005463	-80.04188537597656	93.8
160	2018-06-11 17:07:39.497258-04:00	3.0	1	True	4.0	0.0	0.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.544151	0.0	0.509283	0.0	0.0	0.0	0.0	0	98.7803726196289	50.48935317993164	0.0	94.10057830810547	0.08871576189994812	-23.4566707611084	58.08
161	2018-06-11 18:08:22.128340-04:00	3.0	0	True	3.0	0.0	0.0	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.631474	0.0	0.0	0.0	0.0	0.0	0.0	0	98.78585052490234	99.51325988769531	0.0	82.30057525634766	0.08004847168922424	-87.76968383789062	95.85
162	2018-06-11 19:15:17.607349-04:00	3.0	0	True	3.0	0.0	1.0	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.534959	0.0	0.0	0.0	0.0	0.0	0.0	0	98.78585052490234	99.51325988769531	0.0	82.30057525634766	0.08004847168922424	-87.76968383789062	81.38
163	2018-06-11 20:15:51.604540-04:00	2.5	0	True	2.5	0.0	2.0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.892619	0.0	0.0	0.0	0.0	0.624531	0	98.7850341796875	46.166481018066406	1.7142982482910156	90.93880462646484	0.0	-31.58125877380371	49.9
164	2018-06-11 21:19:01.307853-04:00	3.0	1	True	3.0	0.0	2.0	True	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.798695	0.0	0.0	0	98.7850341796875	46.166481018066406	1.7142982482910156	90.93880462646484	0.0	-31.58125877380371	50.38
165	2018-06-13 11:24:17.519964-04:00	3.0	0	True	3.5	0.0	2.0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.578821	0.0	0.695362	0.0	0.0	2	98.78338623046875	76.84577941894531	3.4046037197113037	75.42735290527344	0.07957932353019714	-27.226058959960938	83.94
166	2018-06-13 12:25:34.268124-04:00	2.5	0	True	3.0	0.0	2.5	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.603154	0.0	0.0	0.0	0.0	2	98.78338623046875	76.84577941894531	3.4046037197113037	75.42735290527344	0.07957932353019714	-27.226058959960938	48.62
167	2018-06-13 17:42:14.879580-04:00	3.0	0	True	3.0	0.0	2.0	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	0.0	0.0	0.714706	0.0	0.0	0.0	0.0	11	98.7722396850586	93.88118743896484	0.0	95.01160430908203	0.07944373786449432	-11.669697761535645	50.31
