index	time	mood	social	alone	morale	stress	fatigue	compulsions	email_activity	just_woke_up_activity	getting_ready_activity	errands_activity	resting_activity	with_parents_activity	reading_activity	with_friends_activity	therapy_activity	commuting_activity	meditation_activity	schoolwork_activity	washing_up_activity	with_k_activity	eating_activity	trying_to_leave_apt_activity	work_activity	tv_activity	working_out_activity	feedly_activity	leisure_activity	cooking_activity	ash_stuff_activity	chatting_activity	in_class_activity	workshop_activity	shopping_activity	studying_activity	working_activity	friend_home_location	library_location	la_location	therapy_location	parents_home_location	airport_location	vacation_location	home_location	cafe_location	mountain_view_location	k_home_location	school_location	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	word_count	uniqueword_ratio	backspace_count	avg_dwelltime	avg_flighttime	avg_attention	avg_engagement	avg_valence	blinks	productivity_score	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	phone_unlocks	phone_use_secs	walking_distance	walking_duration	avg_walking_speed
time	1.0	0.03250845471604052	0.2693894132366391	-0.47841674802469475	-0.1053270161637162	0.2515654264649518	0.3117182337864606	0.14605332741207255	0.02851106121733681	0.0	0.0	-0.04948481213750497	-0.06529671938559381	0.0	0.09267942664369833	0.33637002813053773	0.05902874396686025	0.0	0.10171537061720702	0.26900871433062196	-0.13001344589093453	0.040219741739311476	-0.10174954698903561	0.0	0.2512425496570515	-0.05507770289161882	-0.003026165819441406	-0.040664840092770896	-0.024129678083629806	0.0	-0.10202339278387354	0.04516793943014151	0.028607665421329517	0.0	-0.060866748372944056	-0.05773825580745761	-0.026797754867458425	0.3762689084914024	0.0	-0.17254691638475808	0.0	0.3173144353548736	0.05411572317641309	-0.36736558806270014	-0.40591650602571344	0.08508548775884014	-0.3099556296873981	0.10086081108366131	0.21795381064430636	0.07042024186568911	-0.028614833073093152	0.08498481010651339	0.03665377079433633	-0.16251234396032374	0.13929893923353215	-0.034096191112363124	0.06937900134063067	-0.10335916250809853	0.03733531996893931	-0.0009643056386340213	0.0603848035311698	0.045318211912406106	0.03423742929947864	-0.033923417838835554	-0.07927920484185509	0.26682712470912967	0.10915906548567617	0.14162471623861686	0.429905512506563	0.24936127172914924	0.11372845403275465	0.07004817776921399	0.003983432960016579	-0.07491190878767139	-0.06318584149763469	-0.08093201963045539
mood	0.03250845471604052	1.0	0.1079982076130609	-0.3238240586065959	0.5716273306542541	-0.4386536407897492	-0.3309618485177727	-0.09845412185827711	-0.012652333900058444	0.0	0.0	0.015872553126866584	0.041810900088961725	0.0	-0.05035449715570752	0.3848754976147026	0.05612197260085452	0.0	-0.08758377665573083	0.12773626087811596	-0.10908558143511127	0.2806887389650678	0.03781420980246497	0.0	0.14258422747006003	-0.19010976720094364	-0.041518391531126374	-0.08583377057839998	-0.14964163055235494	0.0	-0.07332155019861648	0.09487858396720561	0.0561219726008545	0.0	0.002883737722573595	0.08100275972545147	0.007138753818868221	0.11623810348083032	0.0	0.06477433211939138	0.0	-0.161002988652854	0.0028837377225735795	0.13563632255849847	-0.2545743679990545	0.1608965283791102	0.11354980313835303	0.16735069925677537	0.19015619528766825	0.04512423415566436	0.03654814400935424	0.04943862554124043	-0.09827633521792735	0.01659624502916334	0.01802271347028473	-0.010929399925490543	0.13607168309426404	-0.12241204885567579	0.2213654839808096	0.004044518158039775	-0.008969618185096694	0.008772763287483323	0.17036980714207467	0.10034838036150641	-0.13837528368041258	0.09486323610508035	0.11678526873169634	0.17861446404077605	0.02695043161700102	-0.002548487857243443	0.013036468830716465	0.0020835950455936536	-0.02190466914731668	-0.11551969944268416	-0.11002626757597056	-0.14255550727045924
social	0.2693894132366391	0.1079982076130609	1.0	-0.1585292961457186	-0.01402614075963796	0.2201499223517997	0.02802379501655206	0.003235535760421641	0.09932594541973697	0.0	0.0	0.04997301355353289	0.026410765234066436	0.0	-0.02437031170892217	0.11134338107541504	-0.024370311708922145	0.0	0.23188919668117366	0.002630158608080586	-0.004063194651394811	0.04005562602384849	0.027919480616053698	0.0	0.014738704393607655	-0.17021005156788144	0.08081690097689713	-0.037786084538718956	-0.09727794891506157	0.0	0.13441726875040433	0.45617010488729115	0.018636120718587616	0.0	-0.06737674413643271	-0.059784552105538506	0.06387800069150526	-0.01058010367084133	0.0	0.061002498324699346	0.0	0.20738291521455043	0.018636120718587574	-0.04613411161053147	-0.11723532146835414	0.06387800069150522	-0.10783650293130789	-0.028611161445605836	0.12937925611524873	0.13392589495207993	-0.012940198584223843	0.048799925503963004	0.07554173075281496	0.10462102772712568	0.0825958812005595	-0.102735082025443	0.25708930269095315	-0.19785362737908196	0.12793761759718822	0.004071882132002333	-0.1922874158183421	0.04256208322013113	0.1282463821134995	0.15295544467308933	0.08464780786185695	-0.011034180860560967	-0.05864352180033721	-0.08111254070773617	0.20299180857006544	0.14381465945586916	0.04060305114948616	0.41359248472072696	0.32593574408891557	-0.013197895238278539	-0.009290172531376666	-0.04816481312381466
alone	-0.47841674802469475	-0.3238240586065959	-0.1585292961457186	1.0	-0.1321877229682932	-0.006042967029617686	-0.1321432934602893	0.09179008854691079	0.000683867041374229	0.0	0.0	0.10962092589546328	-0.043040181575262945	0.0	0.04108918618643737	-0.4730816702265994	0.04108918618643741	0.0	0.07146821652871489	-0.29639791875958793	0.05823083389594406	-0.40646942234852923	0.05043065159201016	0.0	-0.2676055288174078	0.11619256518625785	0.09265685630207594	0.0659245947132347	0.11171966579170158	0.0	0.13007815756060795	0.05830552975920015	-0.10182972228812778	0.0	0.04108918618643748	-0.01998873679436183	0.10171715080276009	-0.38612976903465995	0.0	0.07602127736487096	0.0	-0.252516329628944	-0.1018297222881275	0.1872185239413125	0.6294010274828497	-0.2520816345981445	0.16789118550766963	-0.2543405157385529	-0.3010037434390011	-0.026167041480985132	-0.03183785683678521	-0.015289718743062385	0.08570809718446479	0.09604755046112945	-0.04121592462874772	-0.010112274205555665	-0.21056653249948648	0.2145643957256041	-0.27554067659241105	-0.10006885664753973	-0.015017596466822557	-0.02291458932379874	0.011426021786642144	-0.019593589886185685	0.02142142181780489	-0.203414933759009	-0.08506741016596034	-0.16328695432957407	-0.25695956680663073	-0.17445715739996914	-0.05158841362667414	-0.11634895430001876	-0.06826442596533858	0.10555396289073973	0.10142757049523766	0.16039113556750423
morale	-0.1053270161637162	0.5716273306542541	-0.01402614075963796	-0.1321877229682932	1.0	-0.31590138660314543	-0.6203020692877537	-0.10428735247604008	0.04799281197062529	0.0	0.0	0.012518337468180362	0.02538233995339364	0.0	-0.1356075957602383	0.10640586847953268	0.09466945364394018	0.0	-0.01335103105858355	0.4060635716240979	-0.1921805739328373	0.2042638264659951	0.08174593544839132	0.0	0.4149026832755773	-0.4056056963721163	-0.011539531149791534	-0.2131154613027062	-0.4187408442552858	0.0	0.11526473890867456	-0.1878887195571561	0.09466945364394046	0.0	0.017910437175880572	0.06766661555595255	0.02850278568962131	-0.018883648469860036	0.0	0.2196349622745982	0.0	-0.05461988245485303	0.017910437175880537	0.3737031901528148	-0.25684538776012866	0.17101671413772784	0.2785330086670123	0.08170553058639722	0.07250715097646883	-0.08002118863268604	0.1353236976152827	-0.041431673934033734	-0.1418214588767059	-0.04889060661927949	-0.01503530915007841	-0.02593178137493031	0.05666520514458634	-0.061658604068053804	0.2575310086263373	-0.04116210056034859	0.16217097483367376	-0.023582191656289338	0.05126331976612177	-0.04554619021312924	-0.07828330123071277	0.1984599451620787	0.31553657502914645	0.19408967260027138	-0.04255284745570401	-0.01686294480148039	0.006609586796093956	-0.04874952295774922	-0.03422800501080992	-0.24220947311443283	-0.24152899852943654	-0.24114101521639608
stress	0.2515654264649518	-0.4386536407897492	0.2201499223517997	-0.006042967029617686	-0.31590138660314543	1.0	0.23916620991277174	0.04923104240949355	-0.06393027865013728	0.0	0.0	0.07443883930933176	-0.044126630971277184	0.0	-0.04812065577582143	-0.07790111090511444	0.019814387672397127	0.0	0.11323895596616178	0.014096391497115942	-0.04412663097127711	-0.13784650755492955	-0.004335965533415299	0.0	0.03131277778901065	-0.029402225173869794	0.07532075152240078	-0.08177355887186898	-0.08813137368265987	0.0	0.057827856650742755	0.24068235692721557	-0.014153134051712231	0.0	-0.04812065577582139	-0.11228976768726891	0.09109459619759214	-0.06744826388701597	0.0	-0.10383890159728423	0.0	0.3109308937431808	0.019814387672397123	-0.149955719894498	-0.10861296536754467	0.007007276630584059	-0.09867474047981178	-0.029377124560886633	0.0671364244185623	0.11594724123586382	-0.020061427807160737	-0.01601900342431884	0.19340933709859004	-0.002953811016639701	0.20929860669284026	-0.026774456030319777	0.11571971937295286	-0.11355660359312032	0.018425986146413026	-0.05997060938049422	-0.14126304727836092	-0.03197124287386525	-0.01812204169438162	-0.07555567473625437	0.12570200088053127	0.04838550940423783	0.007083216036438509	-0.054560552529219784	0.1341158366926259	0.022067256740208308	0.004961858199287437	0.20637730511750216	0.18452984549971546	-0.11657684932242988	-0.11262719457060917	-0.12635507360766474
fatigue	0.3117182337864606	-0.3309618485177727	0.02802379501655206	-0.1321432934602893	-0.6203020692877537	0.23916620991277174	1.0	0.10872935250084959	-0.007991361702220137	0.0	0.0	-0.03634828905017666	0.037345233395522724	0.0	0.12217636480768805	-0.053092222585766555	-0.04209437779088423	0.0	0.02202450274262497	-0.13517736341857542	0.15374596086208742	0.006830339777077791	-0.0980310817773902	0.0	-0.14381595932734775	0.16040402908539023	0.016206465135635097	0.08407262828441847	0.12977645576448088	0.0	-0.02850401122187826	0.07113130793050819	-0.042094377790884305	0.0	-0.09685129199040851	0.0015084608430460569	-0.0251335816483179	0.1071655390578209	0.0	-0.07817215238717039	0.0	0.11362839821247911	0.012662536408639924	-0.38491091895120727	0.1579772702325776	-0.07031754865652984	-0.410296138011687	0.08697299316145883	-0.13419373891728176	0.08737497204292831	-0.05310244673274809	0.035013950448601866	0.26114310911724503	-0.022679456246509133	0.08114787286069601	0.06661535341862991	0.058438821366774155	-0.043170575387659636	-0.11064961701288409	0.10211065990218685	-0.08662451346303446	-0.04506613937820317	0.02656981735809514	0.05991363473716891	0.020708986775795	-0.07991766552615676	-0.25849043739630884	-0.17895730419306421	0.060100452995541946	0.0631425052559999	0.09008010562259677	0.05574422052612865	-0.010163271291471968	0.21402920356939015	0.216557795032359	0.21609117662912375
compulsions	0.14605332741207255	-0.09845412185827711	0.003235535760421641	0.09179008854691079	-0.10428735247604008	0.04923104240949355	0.10872935250084959	1.0	0.03338557354183146	0.0	0.0	-0.12943767882231655	-0.11730025530152781	0.0	0.05055086733603035	-0.07508064834575304	0.05055086733603035	0.0	0.010628336821730625	0.020238287239933848	-0.11730025530152727	0.02439120325595041	-0.00814455175513593	0.0	0.01829059337466141	0.11886446035570501	-0.006263358133506651	-0.12709447559555578	0.055434552854432495	0.0	0.06489062470888586	-0.02576365200116055	-0.08277010146229125	0.0	-0.08277010146229116	0.06384966502614867	0.01512678211081598	-0.014642220690732233	0.0	0.09210922405085295	0.0	0.023717004137102208	0.05055086733603034	0.045380346332448133	0.08461427354876173	0.015126782110816157	-0.020723617869189744	-0.046565024397723205	-0.15724889317615343	0.0346865307812996	-0.010954773518212812	0.01878538614592812	0.012645035873011325	-0.08657478270497715	0.025282224110861343	-0.03775139228473151	0.0684920916417391	-0.04725400931922912	0.004099670366788583	0.05280393763271867	0.018359566801713727	0.055083631713153176	0.09101995708611499	0.008202290023090478	-0.04631679944251519	0.1105736634263802	0.13495717485496955	0.03074055300293169	0.027308822260477844	0.002051359890578494	-0.029776351573798963	-0.07980032114754608	-0.07667026583411832	0.0033824673762878803	0.011329119668072285	0.021328478307322034
email_activity	0.02851106121733681	-0.012652333900058444	0.09932594541973697	0.000683867041374229	0.04799281197062529	-0.06393027865013728	-0.007991361702220137	0.03338557354183146	1.0	0.0	0.0	-0.0617110789804836	-0.015889037089178944	0.0	-0.011211716535729692	-0.0617110789804836	-0.011211716535729685	0.0	-0.01950102835812769	0.00713665539230078	-0.015889037089178874	0.057540005543020786	0.02768893972093894	0.0	-0.0002084462677982233	-0.08779148917867054	-0.025282623102757196	0.10301100506167907	0.01918000184767373	0.0	0.057891264085468096	-0.05777631046154095	-0.011211716535729681	0.0	-0.011211716535729657	-0.034212619257023534	-0.027754841783628307	0.021953165013144777	0.0	0.13866394180026012	0.0	0.01925340083140098	0.3731899932607164	0.04361475137427338	-0.03786759857896312	-0.02775484178362832	-0.06171107898048364	0.05754000554302074	-0.03798828266855556	-0.03760206613618187	0.028382377666995865	0.01529787157979878	-0.0505098965857152	-0.002801998802762175	0.09655519269605312	0.00787798855331172	0.0861658940592752	-0.07783816863833928	0.10885205443836181	-0.010162366136943931	-0.05601811599452619	0.00967671973947193	0.1063995820653054	0.053680165138304925	-0.04332373963537536	-0.015734710108408996	-0.024570456066221914	-0.07668302635085174	0.0011307725754760105	0.03745942060632779	0.020244300173433784	0.1043126190539851	0.024020390857819023	-0.008850374271488897	-0.011934805106174	0.0022414823402030254
just_woke_up_activity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
